strassenschluessel,strassenname,stadtteilschluessel,stadtteilname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
00210,Am Wildwechsel,807,Brück,51109,,,0008,0032
00211,Am Zollhaus,907,Dünnwald,51069,0001,0019,,
00212,Am Zuckerberg,104,Neustadt/Nord,50668,0001,0009,0002,0008
00213,An den Birken,403,Bickendorf,50827,0001,0041,0002,0034
00214,An den Buchen,906,Höhenhaus,51061,0001,0047,0002,0034
00215,An den Dominikanern,103,Altstadt/Nord,50668,0001,0027,0002,0014
00216,An den Kaulen,612,Worringen,50769,0001,0127,0002,0112
00217,An den Klostereichen,907,Dünnwald,51069,0001,0007,0002,0020
00218,An den Kreutzmorgen,505,Weidenpesch,50737,0001,0009,0002,0008
00219,An den Maien,701,Poll,51105,0001,0039,0002,0058
00220,An den Rolshover Gärten,701,Poll,51105,0003,0009,0002,0018
00221,An der Alteburger Mühle,202,Marienburg,50968,0001,0003,0004,0016
00222,An der Basilika St.Severin,101,Altstadt/Süd,50678,0001,0001,,
00223,An der Bastion,105,Deutz,50679,0001a,0013,,
00224,An der Bottmühle,101,Altstadt/Süd,50678,0001,0015,0002,0016
00225,An der Buchenhecke,403,Bickendorf,50827,0001,0013,0002,0002
00226,An der Burg,907,Dünnwald,51069,0001,0009,0002,0012
00227,An der Eiche,101,Altstadt/Süd,50678,0001,0017,,
00228,An der Eisenbahn,305,Müngersdorf,50933,0067,0067,0068,0068
00229,An der Flora,503,Riehl,50735,0001,0027,,
00230,An der Joch,908,Stammheim,51061,0001,0043,0002,0074
00231,An der Kemperwiese,905,Dellbrück,51069,0001,0017,0002,0008
00232,An der Kranzmaar,204,Raderthal,50968,0003,0031,0002,0008
00233,An der Lenzwiese,801,Humboldt/Gremberg,51105,0001,0021,0002,0010
00234,An der Linde,103,Altstadt/Nord,50668,0001,0033,0002,0014
00235,An der Ling,506,Longerich,50739,0001,0027,0002,0046
00236,An der Malzmühle,101,Altstadt/Süd,50676,0001,0009,0002,0008
00237,An der Mergelskaule,701,Poll,51105,0001,0005,0002,0014
00238,An der Mollburg,808,Rath/Heumar,51107,0003,0073,0002,0046
00239,An der Mühle,303,Lindenthal,50935,0001,0009,0002,0008
00240,An der Müllerwiese,905,Dellbrück,51069,0001,0039,0002,0022
00241,An der Münze,104,Neustadt/Nord,50668,0001,0015,0006,0016
00242,Andernacher Str.,202,Marienburg,50968,0001,0009,0002,0012
00243,An der Ölmühle,905,Dellbrück,51069,,,0002,0052
00244,An der Ortskaule,808,Rath/Heumar,51107,0001,0013,0008,0026
00245,An der Paradieswiese,904,Holweide,51067,0001,0029,0002,0012
00246,An der Pauluskirche,102,Neustadt/Süd,50677,0001,0007,,
00247,An der Pulvermühle,801,Humboldt/Gremberg,51105,0001,0035,0002,0018
00248,An der Rechtschule,103,Altstadt/Nord,50667,0001,0007,0002,0006
00249,An der Rehfurt,808,Rath/Heumar,51107,0001,0003,0002,0020
00250,An der Rosenhecke,905,Dellbrück,51069,0001,0023,0004,0036
00251,An der Ruthen,908,Stammheim,51061,0001,0005,0002,0006
00252,An der Schanz,503,Riehl,50735,0001,0005,0002,0014
00253,Andersenstr.,904,Holweide,51067,0005,0069,0002,0052
00254,An der Walkmühle,907,Dünnwald,51069,0007,0059,0016,0092
00255,An der Wasserburg,904,Holweide,51067,0001,0023,0002,0018
00256,Andreaestr.,901,Mülheim,51063,0001,0029,0002,0038
00257,Andreasberger Weg,906,Höhenhaus,51061,0001,0005,0002,0004
00258,Andreas-Gryphius-Str.,903,Buchheim,51065,0001,0011,0002,0026
00259,Andreas-Hermes-Str.,809,Neubrück,51109,0001,0005,0002,0004
00260,Andreaskloster,103,Altstadt/Nord,50667,0001,0005,0006,0014
00260,Andreaskloster,103,Altstadt/Nord,50668,,,0016,0016
00261,An dr Hahnepooz,101,Altstadt/Süd,50674,,,0008,0008
00262,Anemonenweg,905,Dellbrück,51069,0001,0023,0002,0038
00263,Ankerstr.,101,Altstadt/Süd,50676,0001,0025,0006,0010
00264,An Lyskirchen,101,Altstadt/Süd,50676,0001,0023,0008,0016
00266,Annabergstr.,903,Buchheim,51065,0001,0011,0002,0010
00267,Annastr.,203,Raderberg,50968,0001,0077,0012,0074
00268,Annette-Kolb-Str.,809,Neubrück,51109,0001,0021,0002,0016
00269,Annostr.,101,Altstadt/Süd,50678,0001,0055,0002,0108
00270,Ansbacher Str.,803,Vingst,51103,0001,0031,0002,0040
00271,Ansgarplatz,402,Neuehrenfeld,50825,0001,0005,,
00272,Ansgarstr.,402,Neuehrenfeld,50825,0003,0045,0002,0050
00273,An St.Adelheid,809,Neubrück,51109,0001,0005,0002,0014
00274,An St.Agatha,103,Altstadt/Nord,50667,0019,0043,0036,0040
00275,Ansteler Weg,612,Worringen,50769,0001,0019,0002,0020
00276,An St.Elisabeth,804,Höhenberg,51103,0001,0021,0004,0026
00277,An St.Franziskus,507,Bilderstöckchen,50739,,,0002,0002
00278,An St.Katharinen,101,Altstadt/Süd,50678,0001,0007,0002,0016
00279,An St.Laurentius,303,Lindenthal,50931,0001,0001,0004,0008
00280,An St.Magdalenen,101,Altstadt/Süd,50678,0001,0023,0002,0032
00281,An St.Theodor,803,Vingst,51103,,,,
00282,An St.Theresia,903,Buchheim,51067,0001,0001,0002,0010
00283,An St.Urban,901,Mülheim,51063,0001,0005,0002,0002
00284,Anton-Antweiler-Str.,302,Sülz,50937,0001,0001,0010,0030
00285,Antoniastr.,802,Kalk,51105,0001,0005,,
00286,Antoniterstr.,103,Altstadt/Nord,50667,0001,0017,0002,0016
00287,Antonsgasse,103,Altstadt/Nord,50667,0001,0009,0002,0010
00288,Antwerpener Str.,104,Neustadt/Nord,50672,0001,0063,0002,0052
00289,An Zint Jan,101,Altstadt/Süd,50678,,,0000,
00290,Apenrader Str.,402,Neuehrenfeld,50825,0001,0025,0002,0042
00291,Apoldaer Weg,804,Höhenberg,51103,,,0002,0010
00292,Apostelnkloster,103,Altstadt/Nord,50672,0011,0021,0002,0004
00293,Apostelnstr.,103,Altstadt/Nord,50667,0001,0029,0002,0052
00294,Appellhofplatz,103,Altstadt/Nord,50667,0001,0033,0000,0002
00295,Appenweierstr.,805,Ostheim,51107,0001,0015,0002,0018
00296,Aquinostr.,104,Neustadt/Nord,50670,0001,0031,0002,0018
00297,Archimedesstr.,902,Buchforst,51065,0025,0069,0002,0074
00298,Arenzhofstr.,602,Fühlingen,50769,0001,0061a,0008,0052
00299,Arminiusstr.,105,Deutz,50679,0001,0021,0002,0024
00300,Arndtstr.,101,Altstadt/Süd,50676,0001,0005,0002,0016
00301,Arnimstr.,402,Neuehrenfeld,50825,0001,0137,0002,0134
00302,Arno-Holz-Str.,303,Lindenthal,50931,0029,0035,0020,0030
00303,Arnoldsstr.,105,Deutz,50679,0001,0041,0002,0028
00304,Arnold-von-Siegen-Str.,101,Altstadt/Süd,50678,0003,0007,,
00305,Arnsberger Str.,903,Buchheim,51065,0001,0011,0002,0034
00306,Arnstädter Weg,804,Höhenberg,51103,,,0002,0006
00307,Arnulfstr.,302,Sülz,50937,0001,0033,0002,0030
00308,Arthur-Hantzsch-Str.,909,Flittard,51061,0001,0035,0002,0054
00309,Artushof,502,Mauenheim,50739,0001,0005,0002,0012
00310,Asbacher Weg,604,Heimersdorf,50767,0001,0023,0002,0028
00311,Asbergplatz,302,Sülz,50937,0001,0013,0002,0012
00312,Asbergstr.,302,Sülz,50937,0001,0005,0002,0004
00313,Aschenbrödelweg,905,Dellbrück,51067,0001,0021,0002,0020
00314,Astaweg,504,Niehl,50735,0001,0003,0002,0010
00315,Asternweg,603,Seeberg,50769,0001,0027,0002,0032
00316,Attendorner Str.,806,Merheim,51109,0001,0043,0002,0030
00318,Auenweg,105,Deutz,50679,0003,0125,,
00318,Auenweg,901,Mülheim,51063,0173,0197,,
00319,Auerbachplatz,302,Sülz,50937,0001,0005,,
00320,Auerstr.,501,Nippes,50733,0001,0025,0002,0026
00321,Auf dem Auerberg,601,Merkenich,50769,0001,0011,0002,0030
00322,Auf dem Berlich,103,Altstadt/Nord,50667,0001,0035,0008,0034
00323,Auf dem Brand,103,Altstadt/Nord,50667,,,0002,0014
00324,Auf dem Flachsacker,906,Höhenhaus,51061,0005,0083,0010,0084
00325,Auf dem Ginsterberg,505,Weidenpesch,50737,,,0002,0034
00326,Auf dem Heidenberg,504,Niehl,50735,0001,0019,0002,0028
00327,Auf dem Herbst,601,Merkenich,50769,,,,
00329,Auf dem Hügel,305,Müngersdorf,50933,0009,0041,0002,0036
00330,Auf dem Hunnenrücken,103,Altstadt/Nord,50668,0001,0025,0002,0006
00331,Auf dem Kitzeberg,803,Vingst,51107,0001,0065,0002,0048
00332,Auf dem Lind,909,Flittard,51061,,,,
00333,Auf dem Orth,905,Dellbrück,51069,0003,0023,0002,0026
00334,Auf dem Pützacker,904,Holweide,51067,0001,0029,0004,0014
00335,Auf dem Römerberg,202,Marienburg,50968,0001,0029,0004,0040
00336,Auf dem Rothenberg,103,Altstadt/Nord,50667,0001,0013,0004,0030
00337,Auf dem Sandberg,701,Poll,51105,0003,0105,0002,0134
00338,Auf den Steinen,701,Poll,51105,0001,0015,0002,0024
00339,Auf der Aue,907,Dünnwald,51069,0001,0023,0002,0018
00340,Auf der Bitzen,701,Poll,51105,0001,0023,0002,0020
00341,Auf der Bude,506,Longerich,50739,0001,0021,0006,0018
00342,Auf der Burg,612,Worringen,50769,0001,0013,0002,0010
00343,Auf der Driesch,805,Ostheim,51107,0001,0019,0006,0024
00344,Auf der Gemeinde,701,Poll,51105,,,,
00345,Auf der Jüchen,905,Dellbrück,51069,0001,0041,0002,0048
00346,Auf der Kicken,905,Dellbrück,51069,0005,0035,0002,0044
00347,Auf der Ruhr,103,Altstadt/Nord,50667,0003,0011,0002,0002
00348,Auf der Schildwache,907,Dünnwald,51061,0001,0041,0002,0040
00349,Auf der Seekante,504,Niehl,50735,0001,0031,0002,0034
00350,Auf Rheinberg,101,Altstadt/Süd,50676,,,0002,0004
00351,Augsburger Str.,804,Höhenberg,51103,0001,0003,0002,0004
00352,Augustastr.,901,Mülheim,51065,0003,0021,0002,0026
00353,August-Haas-Str.,506,Longerich,50737,0001,0049,0002,0018
00354,Augustinerstr.,103,Altstadt/Nord,50667,0001,0025,0002,0020
00355,August-Macke-Str.,301,Klettenberg,50939,0001,0007,0002,0022
00356,Auguststr.,501,Nippes,50733,0001,0051,0002,0058
00357,August-Strindberg-Str.,904,Holweide,51067,0001,0011,0002,0018
00358,Aurikelweg,603,Seeberg,50769,0003,0015,0004,0016
00359,Außemer Str.,506,Longerich,50737,0001,0005,0002,0012
00361,Baadenberger Str.,402,Neuehrenfeld,50825,0001,0131,0002,0186
00362,Bachemer Str.,303,Lindenthal,50931,0027,0173,0002,0156
00362,Bachemer Str.,303,Lindenthal,50935,0187,0341a,0170,0420
00363,Bachemstr.,101,Altstadt/Süd,50676,,,0004,0014
00364,Bachgrafenstr.,904,Holweide,51067,0001,0003,0004,0006
00365,Bachstelzenweg,404,Vogelsang,50829,0001,0055,0002,0132
00366,Bachstr.,901,Mülheim,51063,0007,0033,0002,0044
00367,Badorfer Str.,205,Zollstock,50969,0001,0027,0002,0008
00368,Dompropst-Ketzer-Str.,103,Altstadt/Nord,50667,0001,0005,0008,0008
00369,Bahnhofsvorplatz,103,Altstadt/Nord,50667,0001,0007,0000,0002a
