Produktbereich;PB_BEZ;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
04;Kultur und Wissenschaft;22 = ordentliches Jahresergebnis (18 und 21);-167.346.179;-143.457.899;-154.227.865;-151.946.094;-162.275.156;-172.538.946
04;Kultur und Wissenschaft;23 - außerordentliche Erträge;0;0;0;0;0;0
04;Kultur und Wissenschaft;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
04;Kultur und Wissenschaft;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
04;Kultur und Wissenschaft;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-167.346.179;-143.457.899;-154.227.865;-151.946.094;-162.275.156;-172.538.946
04;Kultur und Wissenschaft;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);3.179.589;2.610.760;3.157.875;3.157.875;3.157.875;3.157.875
04;Kultur und Wissenschaft;28 = Jahresergebnis;-170.525.767;-146.068.659;-157.385.740;-155.103.969;-165.433.030;-175.696.821
05;Soziale Hilfen;01 - Steuern und ähnliche Abgaben;8.773.153;13.000.000;13.000.000;13.000.000;13.000.000;13.000.000
05;Soziale Hilfen;02 - Zuwendungen und allg. Umlagen;2.770.833;2.471.308;2.187.037;2.131.872;2.131.860;2.131.708
05;Soziale Hilfen;03 - sonstige Transfererträge;16.202.801;10.740.232;12.313.068;12.313.068;12.313.068;12.313.068
05;Soziale Hilfen;04 - öffentl.rechtl. Leistungsentgelte;47.477;70.000;70.000;70.000;70.000;70.000
05;Soziale Hilfen;05 - privatrechtl. Leistungsentgelte;963.687;1.015.681;999.370;999.370;999.370;999.370
05;Soziale Hilfen;06 - Kostenerstattungen und Umlagen;151.650.204;153.686.500;201.646.519;229.594.119;266.097.819;269.288.319
05;Soziale Hilfen;07 - sonstige ordentliche Erträge;8.072.058;346.159;354.155;353.855;353.855;353.855
05;Soziale Hilfen;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
05;Soziale Hilfen;09 - Bestandsveränderungen;0;0;0;0;0;0
05;Soziale Hilfen;10 = ordentliche Erträge;188.480.214;181.329.880;230.570.149;258.462.284;294.965.972;298.156.320
05;Soziale Hilfen;11 - Personalaufwendungen;70.661.737;70.632.413;71.998.074;77.837.176;82.259.150;86.299.768
05;Soziale Hilfen;12 - Versorgungsaufwendungen;6.998;0;0;0;0;0
05;Soziale Hilfen;13 - Aufwendungen für Sach- und Dienstleistungen;16.931.797;17.151.726;20.777.528;19.939.920;19.789.920;19.664.920
05;Soziale Hilfen;14 - Bilanzielle Abschreibungen;13.811.146;1.393.931;1.302.764;1.201.596;1.198.715;1.195.132
05;Soziale Hilfen;15 - Transferaufwendungen;271.821.802;281.281.981;303.884.586;310.560.393;312.742.980;319.611.880
05;Soziale Hilfen;16 - sonstige ordentl. Aufwendungen;319.381.879;323.501.456;326.130.085;326.669.434;326.777.868;326.860.868
05;Soziale Hilfen;17 = ordentliche Aufwendungen;692.615.359;693.961.507;724.093.038;736.208.519;742.768.633;753.632.569
05;Soziale Hilfen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-504.135.145;-512.631.627;-493.522.889;-477.746.236;-447.802.661;-455.476.249
05;Soziale Hilfen;19 - Finanzerträge;315.238;8.004;8.004;8.004;8.004;8.004
05;Soziale Hilfen;20 - Zinsen und sonst. Finanzaufwendungen;65.318;0;0;0;0;0
05;Soziale Hilfen;21 = Finanzergebnis (19 und 20);249.919;8.004;8.004;8.004;8.004;8.004
05;Soziale Hilfen;22 = ordentliches Jahresergebnis (18 und 21);-503.885.225;-512.623.623;-493.514.885;-477.738.232;-447.794.657;-455.468.245
05;Soziale Hilfen;23 - außerordentliche Erträge;0;0;0;0;0;0
05;Soziale Hilfen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
05;Soziale Hilfen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
05;Soziale Hilfen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-503.885.225;-512.623.623;-493.514.885;-477.738.232;-447.794.657;-455.468.245
05;Soziale Hilfen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);2.375.636;2.688.487;3.091.664;3.080.847;3.080.847;3.080.847
05;Soziale Hilfen;28 = Jahresergebnis;-506.260.861;-515.312.110;-496.606.549;-480.819.079;-450.875.504;-458.549.092
06;Kinder-, Jugend- und Familienhilfe;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;02 - Zuwendungen und allg. Umlagen;100.466.697;99.972.160;134.562.431;142.853.452;146.398.172;145.422.373
06;Kinder-, Jugend- und Familienhilfe;03 - sonstige Transfererträge;15.669.558;14.162.772;15.026.236;16.618.265;17.039.707;18.427.324
06;Kinder-, Jugend- und Familienhilfe;04 - öffentl.rechtl. Leistungsentgelte;47.984.764;54.580.400;50.954.729;54.528.851;55.622.677;55.622.677
06;Kinder-, Jugend- und Familienhilfe;05 - privatrechtl. Leistungsentgelte;1.321.905;1.118.700;1.150.250;1.150.250;1.150.250;1.150.250
06;Kinder-, Jugend- und Familienhilfe;06 - Kostenerstattungen und Umlagen;9.354.049;5.863.900;14.774.862;15.221.488;6.974.128;6.974.128
06;Kinder-, Jugend- und Familienhilfe;07 - sonstige ordentliche Erträge;7.296.694;736.460;4.715.647;4.804.766;4.895.667;4.988.386
06;Kinder-, Jugend- und Familienhilfe;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;09 - Bestandsveränderungen;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;10 = ordentliche Erträge;182.093.668;176.434.392;221.184.155;235.177.072;232.080.601;232.585.138
06;Kinder-, Jugend- und Familienhilfe;11 - Personalaufwendungen;180.419.609;195.849.411;200.308.209;228.523.596;236.399.372;243.509.968
06;Kinder-, Jugend- und Familienhilfe;12 - Versorgungsaufwendungen;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;13 - Aufwendungen für Sach- und Dienstleistungen;17.405.111;13.425.854;17.484.542;16.632.129;16.601.607;16.285.023
06;Kinder-, Jugend- und Familienhilfe;14 - Bilanzielle Abschreibungen;3.971.559;4.257.488;6.939.426;7.151.350;7.220.907;7.300.849
06;Kinder-, Jugend- und Familienhilfe;15 - Transferaufwendungen;285.501.014;301.618.616;357.418.988;379.563.123;390.890.262;399.952.324
06;Kinder-, Jugend- und Familienhilfe;16 - sonstige ordentl. Aufwendungen;39.102.548;36.020.595;41.378.309;41.340.976;40.961.713;41.048.396
06;Kinder-, Jugend- und Familienhilfe;17 = ordentliche Aufwendungen;526.399.841;551.171.964;623.529.474;673.211.174;692.073.862;708.096.561
06;Kinder-, Jugend- und Familienhilfe;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-344.306.174;-374.737.572;-402.345.319;-438.034.102;-459.993.261;-475.511.423
06;Kinder-, Jugend- und Familienhilfe;19 - Finanzerträge;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;22 = ordentliches Jahresergebnis (18 und 21);-344.306.174;-374.737.572;-402.345.319;-438.034.102;-459.993.261;-475.511.423
06;Kinder-, Jugend- und Familienhilfe;23 - außerordentliche Erträge;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
06;Kinder-, Jugend- und Familienhilfe;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-344.306.174;-374.737.572;-402.345.319;-438.034.102;-459.993.261;-475.511.423
06;Kinder-, Jugend- und Familienhilfe;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);6.062.331;5.599.112;6.478.773;6.771.656;6.985.412;7.136.997
06;Kinder-, Jugend- und Familienhilfe;28 = Jahresergebnis;-350.368.505;-380.336.684;-408.824.092;-444.805.759;-466.978.673;-482.648.420
07;Gesundheitsdienste;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
07;Gesundheitsdienste;02 - Zuwendungen und allg. Umlagen;1.612.935;1.763.443;1.710.443;1.701.693;1.675.443;1.675.443
07;Gesundheitsdienste;03 - sonstige Transfererträge;233.668;255.600;255.600;255.600;255.600;255.600
07;Gesundheitsdienste;04 - öffentl.rechtl. Leistungsentgelte;1.132.345;2.845.435;2.332.935;2.332.935;2.332.935;2.332.935
07;Gesundheitsdienste;05 - privatrechtl. Leistungsentgelte;11.936;164.600;179.000;179.000;179.000;179.000
07;Gesundheitsdienste;06 - Kostenerstattungen und Umlagen;7.362;0;70.000;70.000;70.000;70.000
07;Gesundheitsdienste;07 - sonstige ordentliche Erträge;360.973;24.200;30.950;44.450;44.450;44.450
07;Gesundheitsdienste;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
07;Gesundheitsdienste;09 - Bestandsveränderungen;0;0;0;0;0;0
07;Gesundheitsdienste;10 = ordentliche Erträge;3.359.219;5.053.278;4.578.928;4.583.678;4.557.428;4.557.428
07;Gesundheitsdienste;11 - Personalaufwendungen;14.095.950;14.126.892;14.493.463;15.971.638;16.699.374;17.293.947
07;Gesundheitsdienste;12 - Versorgungsaufwendungen;0;0;0;0;0;0
07;Gesundheitsdienste;13 - Aufwendungen für Sach- und Dienstleistungen;819.146;797.169;881.411;881.411;881.411;881.411
07;Gesundheitsdienste;14 - Bilanzielle Abschreibungen;96.694;254.621;285.941;205.761;205.761;205.761
07;Gesundheitsdienste;15 - Transferaufwendungen;15.664.501;15.969.835;15.837.310;15.562.935;15.536.685;15.536.685
07;Gesundheitsdienste;16 - sonstige ordentl. Aufwendungen;2.568.966;2.864.302;2.827.201;2.812.201;2.812.201;2.812.201
07;Gesundheitsdienste;17 = ordentliche Aufwendungen;33.245.257;34.012.820;34.325.326;35.433.946;36.135.432;36.730.005
07;Gesundheitsdienste;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-29.886.037;-28.959.542;-29.746.398;-30.850.268;-31.578.004;-32.172.577
07;Gesundheitsdienste;19 - Finanzerträge;0;0;0;0;0;0
07;Gesundheitsdienste;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
07;Gesundheitsdienste;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
07;Gesundheitsdienste;22 = ordentliches Jahresergebnis (18 und 21);-29.886.037;-28.959.542;-29.746.398;-30.850.268;-31.578.004;-32.172.577
07;Gesundheitsdienste;23 - außerordentliche Erträge;0;0;0;0;0;0
07;Gesundheitsdienste;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
07;Gesundheitsdienste;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
07;Gesundheitsdienste;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-29.886.037;-28.959.542;-29.746.398;-30.850.268;-31.578.004;-32.172.577
07;Gesundheitsdienste;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);640.878;350.267;701.490;701.490;701.490;701.490
07;Gesundheitsdienste;28 = Jahresergebnis;-30.526.915;-29.309.808;-30.447.887;-31.551.757;-32.279.493;-32.874.067
08;Sportförderung;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
08;Sportförderung;02 - Zuwendungen und allg. Umlagen;1.924.551;861.355;901.355;901.355;901.355;861.355
08;Sportförderung;03 - sonstige Transfererträge;500;0;0;0;0;0
08;Sportförderung;04 - öffentl.rechtl. Leistungsentgelte;246.116;312.000;312.000;338.159;338.159;338.159
08;Sportförderung;05 - privatrechtl. Leistungsentgelte;994.216;791.160;785.160;785.160;785.160;785.160
08;Sportförderung;06 - Kostenerstattungen und Umlagen;2.202;70.000;70.000;70.000;70.000;70.000
08;Sportförderung;07 - sonstige ordentliche Erträge;515.693;122.200;122.200;122.200;122.200;122.200
08;Sportförderung;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
08;Sportförderung;09 - Bestandsveränderungen;0;0;0;0;0;0
08;Sportförderung;10 = ordentliche Erträge;3.683.278;2.156.715;2.190.715;2.216.874;2.216.874;2.176.874
08;Sportförderung;11 - Personalaufwendungen;7.503.882;6.743.791;7.055.668;7.782.489;8.141.425;8.435.665
08;Sportförderung;12 - Versorgungsaufwendungen;0;0;0;0;0;0
08;Sportförderung;13 - Aufwendungen für Sach- und Dienstleistungen;4.273.812;4.746.454;4.700.050;4.690.050;4.690.050;4.690.050
08;Sportförderung;14 - Bilanzielle Abschreibungen;4.843.557;2.878.716;4.822.196;5.183.796;5.545.396;5.906.996
08;Sportförderung;15 - Transferaufwendungen;7.509.488;9.989.484;10.088.790;11.915.351;9.713.052;10.181.527
08;Sportförderung;16 - sonstige ordentl. Aufwendungen;2.290.303;1.626.620;1.796.114;1.471.114;1.496.114;1.346.114
08;Sportförderung;17 = ordentliche Aufwendungen;26.421.042;25.985.065;28.462.818;31.042.801;29.586.037;30.560.353
08;Sportförderung;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-22.737.764;-23.828.350;-26.272.103;-28.825.927;-27.369.163;-28.383.479
08;Sportförderung;19 - Finanzerträge;0;0;0;0;0;0
08;Sportförderung;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
08;Sportförderung;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
08;Sportförderung;22 = ordentliches Jahresergebnis (18 und 21);-22.737.764;-23.828.350;-26.272.103;-28.825.927;-27.369.163;-28.383.479
08;Sportförderung;23 - außerordentliche Erträge;0;0;0;0;0;0
08;Sportförderung;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
08;Sportförderung;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
08;Sportförderung;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-22.737.764;-23.828.350;-26.272.103;-28.825.927;-27.369.163;-28.383.479
08;Sportförderung;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);281.919;280.106;292.447;292.447;292.447;292.447
08;Sportförderung;28 = Jahresergebnis;-23.019.683;-24.108.455;-26.564.550;-29.118.373;-27.661.610;-28.675.925
09;Räumliche Planung und Entwicklung, Geoinformationen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;02 - Zuwendungen und allg. Umlagen;1.478.554;3.747.132;4.614.919;7.385.762;3.556.070;146.300
09;Räumliche Planung und Entwicklung, Geoinformationen;03 - sonstige Transfererträge;10.000;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;04 - öffentl.rechtl. Leistungsentgelte;2.230.943;2.978.238;2.980.238;2.980.238;2.980.238;2.980.238
