Bezirk;Bezeichnung;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
4;Ehrenfeld;14 - Bilanzielle Abschreibungen;4.626.610;4.517.771;4.912.981;4.929.840;4.933.353;4.936.938
4;Ehrenfeld;15 - Transferaufwendungen;15.012.370;12.966.637;17.125.482;17.926.263;18.822.104;19.762.737
4;Ehrenfeld;16 - sonstige ordentl. Aufwendungen;4.531.097;3.744.894;4.468.723;4.471.412;4.472.005;4.472.005
4;Ehrenfeld;17 = ordentliche Aufwendungen;43.237.518;41.829.551;47.088.968;50.195.582;51.941.004;53.630.731
4;Ehrenfeld;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-33.199.714;-32.684.580;-35.694.338;-38.349.393;-39.930.844;-41.600.945
4;Ehrenfeld;19 - Finanzerträge;0;0;0;0;0;0
4;Ehrenfeld;20 - Zinsen und sonst. Finanzaufwendungen;88.988;0;0;0;0;0
4;Ehrenfeld;21 = Finanzergebnis (19 und 20);-88.988;0;0;0;0;0
4;Ehrenfeld;22 = ordentliches Jahresergebnis (18 und 21);-33.288.703;-32.684.580;-35.694.338;-38.349.393;-39.930.844;-41.600.945
4;Ehrenfeld;23 - außerordentliche Erträge;0;0;0;0;0;0
4;Ehrenfeld;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
4;Ehrenfeld;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
4;Ehrenfeld;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-33.288.703;-32.684.580;-35.694.338;-38.349.393;-39.930.844;-41.600.945
4;Ehrenfeld;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);588.321;548.776;671.441;696.113;714.742;727.954
4;Ehrenfeld;28 = Jahresergebnis;-33.877.024;-33.233.356;-36.365.779;-39.045.506;-40.645.586;-42.328.899
5;Nippes;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
5;Nippes;02 - Zuwendungen und allg. Umlagen;5.116.691;4.972.146;6.942.473;7.293.842;7.468.316;7.484.969
5;Nippes;03 - sonstige Transfererträge;0;192;243;243;243;243
5;Nippes;04 - öffentl.rechtl. Leistungsentgelte;5.119.425;5.770.464;5.776.446;5.880.684;5.887.489;5.896.197
5;Nippes;05 - privatrechtl. Leistungsentgelte;16.858;36.200;25.120;25.120;25.120;25.120
5;Nippes;06 - Kostenerstattungen und Umlagen;582.145;413.626;443.725;473.823;474.382;474.382
5;Nippes;07 - sonstige ordentliche Erträge;205.450;27.888;28.319;28.339;28.358;28.382
5;Nippes;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
5;Nippes;09 - Bestandsveränderungen;0;0;0;0;0;0
5;Nippes;10 = ordentliche Erträge;11.040.568;11.220.516;13.216.325;13.702.050;13.883.908;13.909.292
5;Nippes;11 - Personalaufwendungen;18.111.254;20.061.664;20.153.480;22.945.624;23.898.864;24.737.222
5;Nippes;12 - Versorgungsaufwendungen;0;0;0;0;0;0
5;Nippes;13 - Aufwendungen für Sach- und Dienstleistungen;2.469.514;2.405.129;2.836.776;2.730.704;2.734.419;2.734.419
5;Nippes;14 - Bilanzielle Abschreibungen;6.293.950;7.076.883;7.366.472;7.382.889;7.388.424;7.394.068
5;Nippes;15 - Transferaufwendungen;12.776.225;13.909.815;15.368.355;16.078.021;16.881.445;17.725.041
5;Nippes;16 - sonstige ordentl. Aufwendungen;3.824.482;4.231.757;4.224.291;4.228.115;4.228.765;4.228.765
5;Nippes;17 = ordentliche Aufwendungen;43.475.425;47.685.248;49.949.374;53.365.353;55.131.917;56.819.514
5;Nippes;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-32.434.857;-36.464.731;-36.733.049;-39.663.303;-41.248.009;-42.910.222
5;Nippes;19 - Finanzerträge;0;0;0;0;0;0
5;Nippes;20 - Zinsen und sonst. Finanzaufwendungen;9.718;0;0;0;0;0
5;Nippes;21 = Finanzergebnis (19 und 20);-9.718;0;0;0;0;0
5;Nippes;22 = ordentliches Jahresergebnis (18 und 21);-32.444.574;-36.464.731;-36.733.049;-39.663.303;-41.248.009;-42.910.222
5;Nippes;23 - außerordentliche Erträge;0;0;0;0;0;0
5;Nippes;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
5;Nippes;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
5;Nippes;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-32.444.574;-36.464.731;-36.733.049;-39.663.303;-41.248.009;-42.910.222
5;Nippes;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);656.283;602.664;707.851;735.155;755.707;770.280
5;Nippes;28 = Jahresergebnis;-33.100.857;-37.067.395;-37.440.900;-40.398.459;-42.003.716;-43.680.502
6;Chorweiler;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
6;Chorweiler;02 - Zuwendungen und allg. Umlagen;6.368.847;6.696.251;8.594.737;9.006.588;9.211.165;9.230.607
6;Chorweiler;03 - sonstige Transfererträge;0;8.374;285;285;285;285
6;Chorweiler;04 - öffentl.rechtl. Leistungsentgelte;4.721.269;5.027.302;4.953.452;5.079.609;5.086.746;5.092.527
6;Chorweiler;05 - privatrechtl. Leistungsentgelte;324.578;359.203;326.644;326.644;326.644;326.644
6;Chorweiler;06 - Kostenerstattungen und Umlagen;1.244.127;906.402;970.453;1.034.504;1.035.693;1.035.693
6;Chorweiler;07 - sonstige ordentliche Erträge;68.421;17.338;18.042;18.066;18.089;18.115
6;Chorweiler;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
6;Chorweiler;09 - Bestandsveränderungen;0;0;0;0;0;0
6;Chorweiler;10 = ordentliche Erträge;12.727.242;13.014.870;14.863.614;15.465.696;15.678.623;15.703.872
6;Chorweiler;11 - Personalaufwendungen;19.788.931;21.566.421;22.119.507;25.209.781;26.248.898;27.171.615
6;Chorweiler;12 - Versorgungsaufwendungen;0;0;0;0;0;0
6;Chorweiler;13 - Aufwendungen für Sach- und Dienstleistungen;2.608.615;2.741.453;3.770.493;3.129.896;3.131.631;3.131.631
6;Chorweiler;14 - Bilanzielle Abschreibungen;6.216.505;6.493.844;6.811.672;6.837.654;6.842.385;6.848.140
6;Chorweiler;15 - Transferaufwendungen;9.444.250;9.342.411;12.753.945;13.350.535;14.017.589;14.717.996
6;Chorweiler;16 - sonstige ordentl. Aufwendungen;3.735.662;3.969.405;4.204.688;4.212.870;4.213.638;4.213.638
6;Chorweiler;17 = ordentliche Aufwendungen;41.793.963;44.113.534;49.660.305;52.740.736;54.454.141;56.083.020
6;Chorweiler;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-29.066.721;-31.098.664;-34.796.691;-37.275.040;-38.775.518;-40.379.148
6;Chorweiler;19 - Finanzerträge;0;0;0;0;0;0
6;Chorweiler;20 - Zinsen und sonst. Finanzaufwendungen;2.780;0;0;0;0;0
6;Chorweiler;21 = Finanzergebnis (19 und 20);-2.780;0;0;0;0;0
6;Chorweiler;22 = ordentliches Jahresergebnis (18 und 21);-29.069.502;-31.098.664;-34.796.691;-37.275.040;-38.775.518;-40.379.148
6;Chorweiler;23 - außerordentliche Erträge;0;0;0;0;0;0
6;Chorweiler;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
6;Chorweiler;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
6;Chorweiler;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-29.069.502;-31.098.664;-34.796.691;-37.275.040;-38.775.518;-40.379.148
6;Chorweiler;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);734.955;700.038;802.523;835.847;860.650;878.240
6;Chorweiler;28 = Jahresergebnis;-29.804.457;-31.798.703;-35.599.214;-38.110.887;-39.636.168;-41.257.388
7;Porz;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
7;Porz;02 - Zuwendungen und allg. Umlagen;6.111.915;5.998.245;8.483.569;8.942.350;9.170.058;9.191.610
7;Porz;03 - sonstige Transfererträge;24.344;1.147;1.217;1.217;1.217;1.217
7;Porz;04 - öffentl.rechtl. Leistungsentgelte;5.777.512;6.394.193;6.400.899;6.540.821;6.549.090;6.556.308
7;Porz;05 - privatrechtl. Leistungsentgelte;142.031;138.640;182.265;182.265;182.265;182.265
7;Porz;06 - Kostenerstattungen und Umlagen;633.685;415.124;442.260;469.397;469.901;469.901
7;Porz;07 - sonstige ordentliche Erträge;168.081;80.004;62.057;62.085;62.112;62.139
7;Porz;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
7;Porz;09 - Bestandsveränderungen;0;0;0;0;0;0
7;Porz;10 = ordentliche Erträge;12.857.568;13.027.352;15.572.268;16.198.136;16.434.644;16.463.441
7;Porz;11 - Personalaufwendungen;19.744.018;22.912.415;22.835.708;25.962.189;27.038.022;27.991.612
7;Porz;12 - Versorgungsaufwendungen;0;0;0;0;0;0
7;Porz;13 - Aufwendungen für Sach- und Dienstleistungen;2.672.754;2.586.628;3.434.150;3.296.894;3.298.017;3.298.017
7;Porz;14 - Bilanzielle Abschreibungen;5.792.227;6.701.701;7.027.330;7.059.978;7.061.265;7.066.661
7;Porz;15 - Transferaufwendungen;14.560.133;12.376.256;17.225.647;18.029.836;18.930.829;19.876.872
7;Porz;16 - sonstige ordentl. Aufwendungen;10.517.677;4.815.694;5.108.108;5.112.643;5.113.388;5.113.388
7;Porz;17 = ordentliche Aufwendungen;53.286.808;49.392.694;55.630.943;59.461.540;61.441.521;63.346.550
7;Porz;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-40.429.240;-36.365.342;-40.058.675;-43.263.404;-45.006.876;-46.883.109
7;Porz;19 - Finanzerträge;0;0;0;0;0;0
7;Porz;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
7;Porz;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
7;Porz;22 = ordentliches Jahresergebnis (18 und 21);-40.429.240;-36.365.342;-40.058.675;-43.263.404;-45.006.876;-46.883.109
7;Porz;23 - außerordentliche Erträge;0;0;0;0;0;0
7;Porz;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
7;Porz;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
7;Porz;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-40.429.240;-36.365.342;-40.058.675;-43.263.404;-45.006.876;-46.883.109
7;Porz;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);728.120;687.864;821.761;856.240;882.080;900.405
7;Porz;28 = Jahresergebnis;-41.157.361;-37.053.206;-40.880.437;-44.119.644;-45.888.956;-47.783.514
8;Kalk;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
8;Kalk;02 - Zuwendungen und allg. Umlagen;7.107.136;6.670.362;9.933.007;10.450.242;10.706.920;10.731.135
8;Kalk;03 - sonstige Transfererträge;-368;319;358;358;358;358
8;Kalk;04 - öffentl.rechtl. Leistungsentgelte;5.043.660;5.509.591;5.695.107;5.852.209;5.861.837;5.875.491
8;Kalk;05 - privatrechtl. Leistungsentgelte;159.389;218.816;158.597;158.597;158.597;158.597
8;Kalk;06 - Kostenerstattungen und Umlagen;1.135.808;774.336;831.733;888.080;889.126;889.126
8;Kalk;07 - sonstige ordentliche Erträge;88.357;42.508;42.434;42.464;42.495;42.527
8;Kalk;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
8;Kalk;09 - Bestandsveränderungen;0;0;0;0;0;0
8;Kalk;10 = ordentliche Erträge;13.533.983;13.215.932;16.661.235;17.391.949;17.659.333;17.697.233
8;Kalk;11 - Personalaufwendungen;23.302.813;26.303.125;26.540.011;30.268.860;31.509.531;32.611.341
8;Kalk;12 - Versorgungsaufwendungen;0;0;0;0;0;0
8;Kalk;13 - Aufwendungen für Sach- und Dienstleistungen;3.338.061;3.185.478;4.071.822;3.567.771;3.568.996;3.568.486
8;Kalk;14 - Bilanzielle Abschreibungen;5.275.523;5.705.257;6.150.896;6.176.023;6.181.824;6.185.474
8;Kalk;15 - Transferaufwendungen;22.820.243;21.986.026;25.631.077;26.851.002;28.189.989;29.595.925
8;Kalk;16 - sonstige ordentl. Aufwendungen;5.302.668;4.902.222;5.591.023;5.600.930;5.376.886;5.377.140
8;Kalk;17 = ordentliche Aufwendungen;60.039.309;62.082.107;67.984.828;72.464.585;74.827.225;77.338.366
8;Kalk;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-46.505.326;-48.866.175;-51.323.593;-55.072.636;-57.167.892;-59.641.133
8;Kalk;19 - Finanzerträge;0;0;0;0;0;0
8;Kalk;20 - Zinsen und sonst. Finanzaufwendungen;1.059;0;0;0;0;0
8;Kalk;21 = Finanzergebnis (19 und 20);-1.059;0;0;0;0;0
8;Kalk;22 = ordentliches Jahresergebnis (18 und 21);-46.506.386;-48.866.175;-51.323.593;-55.072.636;-57.167.892;-59.641.133
8;Kalk;23 - außerordentliche Erträge;0;0;0;0;0;0
8;Kalk;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
8;Kalk;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
8;Kalk;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-46.506.386;-48.866.175;-51.323.593;-55.072.636;-57.167.892;-59.641.133
8;Kalk;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);917.817;837.198;978.595;1.019.843;1.050.561;1.072.346
8;Kalk;28 = Jahresergebnis;-47.424.203;-49.703.372;-52.302.188;-56.092.479;-58.218.454;-60.713.478
9;Mühlheim;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
9;Mühlheim;02 - Zuwendungen und allg. Umlagen;8.198.727;8.205.094;11.229.344;11.786.789;12.063.406;12.089.477
9;Mühlheim;03 - sonstige Transfererträge;189;703;388;388;388;388
9;Mühlheim;04 - öffentl.rechtl. Leistungsentgelte;6.753.275;6.903.486;6.951.457;7.115.581;7.125.972;7.138.670
9;Mühlheim;05 - privatrechtl. Leistungsentgelte;49.138;26.400;60.231;60.231;60.231;60.231
9;Mühlheim;06 - Kostenerstattungen und Umlagen;1.844.718;1.313.619;1.407.674;1.501.728;1.503.474;1.503.474
9;Mühlheim;07 - sonstige ordentliche Erträge;80.977;67.989;70.150;70.180;70.220;70.247
9;Mühlheim;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
9;Mühlheim;09 - Bestandsveränderungen;0;0;0;0;0;0
9;Mühlheim;10 = ordentliche Erträge;16.927.025;16.517.292;19.719.243;20.534.897;20.823.691;20.862.486
9;Mühlheim;11 - Personalaufwendungen;27.366.696;30.690.606;29.943.636;34.105.482;35.517.500;36.765.702
9;Mühlheim;12 - Versorgungsaufwendungen;0;0;0;0;0;0
9;Mühlheim;13 - Aufwendungen für Sach- und Dienstleistungen;3.668.783;3.561.873;5.651.951;4.282.749;4.285.198;4.285.198
9;Mühlheim;14 - Bilanzielle Abschreibungen;7.616.170;8.216.095;8.593.149;8.620.525;8.627.549;8.634.714
9;Mühlheim;15 - Transferaufwendungen;28.031.609;30.290.919;31.075.772;32.553.233;34.174.707;35.877.255
9;Mühlheim;16 - sonstige ordentl. Aufwendungen;6.019.249;5.716.728;6.397.804;6.405.005;6.406.194;6.406.194
9;Mühlheim;17 = ordentliche Aufwendungen;72.702.508;78.476.221;81.662.311;85.966.994;89.011.148;91.969.063
9;Mühlheim;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-55.775.483;-61.958.929;-61.943.067;-65.432.097;-68.187.457;-71.106.577
9;Mühlheim;19 - Finanzerträge;0;0;0;0;0;0
9;Mühlheim;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
9;Mühlheim;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
9;Mühlheim;22 = ordentliches Jahresergebnis (18 und 21);-55.775.483;-61.958.929;-61.943.067;-65.432.097;-68.187.457;-71.106.577
9;Mühlheim;23 - außerordentliche Erträge;0;0;0;0;0;0
9;Mühlheim;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
9;Mühlheim;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
9;Mühlheim;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-55.775.483;-61.958.929;-61.943.067;-65.432.097;-68.187.457;-71.106.577
9;Mühlheim;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);973.518;922.208;1.053.682;1.098.913;1.132.740;1.156.727
9;Mühlheim;28 = Jahresergebnis;-56.749.001;-62.881.138;-62.996.750;-66.531.010;-69.320.198;-72.263.304
