Produktbereich;Produktbereichsbezeichnung;Teilplan;Teilplanbezeichnung;Teilpanzeile;Ist 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;02 - Einzahlung aus der Veräußerung von Sachanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;06 - Summe investive Einzahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;34.363;92.000;201.000;161.000;161.000;201.000
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;13 - Summe investive Auszahlungen;34.363;92.000;201.000;161.000;161.000;201.000
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;14 - Saldo Investitionstätigkeit;-34.363;-92.000;-201.000;-161.000;-161.000;-201.000
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;1.749;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;02 - Einzahlung aus der Veräußerung von Sachanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;06 - Summe investive Einzahlungen;1.749;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;443.559;439.600;1.583.700;779.700;670.000;658.600
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;13 - Summe investive Auszahlungen;443.559;439.600;1.583.700;779.700;670.000;658.600
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;14 - Saldo Investitionstätigkeit;-441.810;-439.600;-1.583.700;-779.700;-670.000;-658.600
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;02 - Einzahlung aus der Veräußerung von Sachanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;06 - Summe investive Einzahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;106.535;100.000;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;13 - Summe investive Auszahlungen;106.535;100.000;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;14 - Saldo Investitionstätigkeit;-106.535;-100.000;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;02 - Einzahlung aus der Veräußerung von Sachanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;06 - Summe investive Einzahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;37.345;163.000;391.000;163.000;163.000;163.000
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;13 - Summe investive Auszahlungen;37.345;163.000;391.000;163.000;163.000;163.000
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;14 - Saldo Investitionstätigkeit;-37.345;-163.000;-391.000;-163.000;-163.000;-163.000
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;02 - Einzahlung aus der Veräußerung von Sachanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;06 - Summe investive Einzahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;6.686;8.000;12.000;8.000;8.000;8.000
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;13 - Summe investive Auszahlungen;6.686;8.000;12.000;8.000;8.000;8.000
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;14 - Saldo Investitionstätigkeit;-6.686;-8.000;-12.000;-8.000;-8.000;-8.000
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;0;3.000;3.000;3.000;3.000;3.000
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;02 - Einzahlung aus der Veräußerung von Sachanlagen;29.768.212;32.520.800;32.520.800;32.520.800;32.520.800;32.520.800
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;06 - Summe investive Einzahlungen;29.768.212;32.523.800;32.523.800;32.523.800;32.523.800;32.523.800
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;13.120.183;33.640.000;31.360.000;31.000.000;31.000.000;31.000.000
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;08 - Auszahlungen für Baumaßnahmen;365.758;300.000;779.000;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;18.090;80.500;80.500;80.500;80.500;80.500
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;13 - Summe investive Auszahlungen;13.504.031;34.020.500;32.219.500;31.080.500;31.080.500;31.080.500
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;14 - Saldo Investitionstätigkeit;16.264.181;-1.496.700;304.300;1.443.300;1.443.300;1.443.300
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;02 - Einzahlung aus der Veräußerung von Sachanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;06 - Summe investive Einzahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;247.633;425.000;570.000;450.000;400.000;390.000
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;13 - Summe investive Auszahlungen;247.633;425.000;570.000;450.000;400.000;390.000
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;14 - Saldo Investitionstätigkeit;-247.633;-425.000;-570.000;-450.000;-400.000;-390.000
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0109;Kasse und Veranlagung gemeindl. Abgaben;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;02 - Einzahlung aus der Veräußerung von Sachanlagen;43.950;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;05 - Einzahlung sonstige Investitionseinzahlung;2.600;2.400;2.400;2.400;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;06 - Summe investive Einzahlungen;46.550;2.400;2.400;2.400;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;335.635;130.000;464.000;120.000;120.000;1.220.000
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;13 - Summe investive Auszahlungen;335.635;130.000;464.000;120.000;120.000;1.220.000
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;14 - Saldo Investitionstätigkeit;-289.085;-127.600;-461.600;-117.600;-120.000;-1.220.000
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0110;Controlling, Finanzsteuerung, Rechungswesen;19 - Gewährung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;3.090;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;02 - Einzahlung aus der Veräußerung von Sachanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;06 - Summe investive Einzahlungen;3.090;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;08 - Auszahlungen für Baumaßnahmen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;09 - Auszahlung für den Erwerb von bewegl. Anlagevermögen;482.892;417.240;296.340;296.340;296.340;296.340
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;10 - Auszahlung für den Erwerb von Finanzanlagen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;11 - Auszahlung von aktivierbaren Zuwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;12 - Auszahlung für sonst. Investitionsauszahlungen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;13 - Summe investive Auszahlungen;482.892;417.240;296.340;296.340;296.340;296.340
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;14 - Saldo Investitionstätigkeit;-479.802;-417.240;-296.340;-296.340;-296.340;-296.340
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;15 - Aufnahme von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;16 - Rückflüsse von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;18 - Tilgung von Darlehen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;19 - Gewährung von Darlehen;0;0;0;0;0;0
02;Sicherheit und Ordnung;0201;Allgemeine Sicherheit und Ordnung;01 - Einzahlung aus Zuwendungen für Investitionsmaßnahmen;1.807;0;0;0;0;0
02;Sicherheit und Ordnung;0201;Allgemeine Sicherheit und Ordnung;02 - Einzahlung aus der Veräußerung von Sachanlagen;98.176;0;0;0;0;0
02;Sicherheit und Ordnung;0201;Allgemeine Sicherheit und Ordnung;03 - Einzahlung aus Veräußerung Finanzanlagen;0;0;0;0;0;0
02;Sicherheit und Ordnung;0201;Allgemeine Sicherheit und Ordnung;04 - Einzahlung aus Beiträgen nd ähnl. Entgelten;0;0;0;0;0;0
02;Sicherheit und Ordnung;0201;Allgemeine Sicherheit und Ordnung;05 - Einzahlung sonstige Investitionseinzahlung;0;0;0;0;0;0
02;Sicherheit und Ordnung;0201;Allgemeine Sicherheit und Ordnung;06 - Summe investive Einzahlungen;99.983;0;0;0;0;0
02;Sicherheit und Ordnung;0201;Allgemeine Sicherheit und Ordnung;07 - Auszahlungen für Erwerb v. Grundstücken und Gebäuden;0;0;0;0;0;0
