Produktbereich;PB_BEZ;Teilplan;PG_BEZ;Bezirk;Bezeichnung;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;2;Rodenkirchen;22 = ordentliches Jahresergebnis (18 und 21);5.048;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;2;Rodenkirchen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);5.048;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;2;Rodenkirchen;28 = Jahresergebnis;5.048;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;3;Lindenthal;13 - Aufwendungen für Sach- und Dienstleistungen;2.850;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;3;Lindenthal;16 - sonstige ordentl. Aufwendungen;2.368;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;3;Lindenthal;17 = ordentliche Aufwendungen;5.219;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;3;Lindenthal;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);5.219;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;3;Lindenthal;22 = ordentliches Jahresergebnis (18 und 21);5.219;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;3;Lindenthal;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);5.219;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;3;Lindenthal;28 = Jahresergebnis;5.219;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;4;Ehrenfeld;13 - Aufwendungen für Sach- und Dienstleistungen;3.646;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;4;Ehrenfeld;16 - sonstige ordentl. Aufwendungen;1.458;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;4;Ehrenfeld;17 = ordentliche Aufwendungen;5.104;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;4;Ehrenfeld;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);5.104;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;4;Ehrenfeld;22 = ordentliches Jahresergebnis (18 und 21);5.104;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;4;Ehrenfeld;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);5.104;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;4;Ehrenfeld;28 = Jahresergebnis;5.104;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;5;Nippes;13 - Aufwendungen für Sach- und Dienstleistungen;2.160;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;5;Nippes;16 - sonstige ordentl. Aufwendungen;2.998;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;5;Nippes;17 = ordentliche Aufwendungen;5.159;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;5;Nippes;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);5.159;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;5;Nippes;22 = ordentliches Jahresergebnis (18 und 21);5.159;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;5;Nippes;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);5.159;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;5;Nippes;28 = Jahresergebnis;5.159;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;6;Chorweiler;13 - Aufwendungen für Sach- und Dienstleistungen;4.493;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;6;Chorweiler;16 - sonstige ordentl. Aufwendungen;765;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;6;Chorweiler;17 = ordentliche Aufwendungen;5.258;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;6;Chorweiler;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);5.258;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;6;Chorweiler;22 = ordentliches Jahresergebnis (18 und 21);5.258;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;6;Chorweiler;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);5.258;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;6;Chorweiler;28 = Jahresergebnis;5.258;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;7;Porz;13 - Aufwendungen für Sach- und Dienstleistungen;3.757;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;7;Porz;16 - sonstige ordentl. Aufwendungen;945;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;7;Porz;17 = ordentliche Aufwendungen;4.702;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;7;Porz;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);4.702;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;7;Porz;22 = ordentliches Jahresergebnis (18 und 21);4.702;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;7;Porz;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);4.702;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;7;Porz;28 = Jahresergebnis;4.702;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;8;Kalk;13 - Aufwendungen für Sach- und Dienstleistungen;4.293;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;8;Kalk;16 - sonstige ordentl. Aufwendungen;1.466;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;8;Kalk;17 = ordentliche Aufwendungen;5.759;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;8;Kalk;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);5.759;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;8;Kalk;22 = ordentliches Jahresergebnis (18 und 21);5.759;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;8;Kalk;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);5.759;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;8;Kalk;28 = Jahresergebnis;5.759;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;9;Mühlheim;13 - Aufwendungen für Sach- und Dienstleistungen;4.020;3.500;3.500;3.500;3.500;3.500
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;9;Mühlheim;16 - sonstige ordentl. Aufwendungen;1.110;1.750;1.750;1.750;1.750;1.750
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;9;Mühlheim;17 = ordentliche Aufwendungen;5.129;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;9;Mühlheim;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);5.129;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;9;Mühlheim;22 = ordentliches Jahresergebnis (18 und 21);5.129;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;9;Mühlheim;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);5.129;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;9;Mühlheim;28 = Jahresergebnis;5.129;5.250;5.250;5.250;5.250;5.250
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;02 - Zuwendungen und allg. Umlagen;-406.777;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;10 = ordentliche Erträge;-406.777;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;13 - Aufwendungen für Sach- und Dienstleistungen;396.303;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;16 - sonstige ordentl. Aufwendungen;1.927;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;17 = ordentliche Aufwendungen;398.229;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-8.548;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;22 = ordentliches Jahresergebnis (18 und 21);-8.548;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-8.548;0;0;0;0;0
01;Innere Verwaltung;0108;Zentrale Liegenschaftsangelegenheiten;1;Innenstadt;28 = Jahresergebnis;-8.548;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;02 - Zuwendungen und allg. Umlagen;-435;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;05 - privatrechtl. Leistungsentgelte;-78;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;06 - Kostenerstattungen und Umlagen;-13;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;07 - sonstige ordentliche Erträge;-6.375;-5.000;-5.000;-5.000;-5.000;-5.000
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;10 = ordentliche Erträge;-6.901;-5.000;-5.000;-5.000;-5.000;-5.000
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;11 - Personalaufwendungen;1.123.013;1.013.805;543.934;599.108;632.280;661.841
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;13 - Aufwendungen für Sach- und Dienstleistungen;79.961;42.900;22.370;22.370;22.370;22.370
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;14 - Bilanzielle Abschreibungen;19.841;23.919;13.329;13.329;13.329;13.329
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;16 - sonstige ordentl. Aufwendungen;277.147;358.109;298.338;296.338;296.338;296.338
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;17 = ordentliche Aufwendungen;1.499.962;1.438.733;877.971;931.145;964.318;993.878
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);1.493.061;1.433.733;872.971;926.145;959.318;988.878
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;22 = ordentliches Jahresergebnis (18 und 21);1.493.061;1.433.733;872.971;926.145;959.318;988.878
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);1.493.061;1.433.733;872.971;926.145;959.318;988.878
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);90.878;56.948;111.991;111.631;111.631;111.631
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;1;Innenstadt;28 = Jahresergebnis;1.583.939;1.490.681;984.962;1.037.775;1.070.948;1.100.509
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;05 - privatrechtl. Leistungsentgelte;-114;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;06 - Kostenerstattungen und Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;07 - sonstige ordentliche Erträge;-28.880;-12.000;-11.000;-11.000;-11.000;-11.000
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;10 = ordentliche Erträge;-28.994;-12.000;-11.000;-11.000;-11.000;-11.000
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;11 - Personalaufwendungen;786.849;608.994;724.221;797.537;839.566;876.353
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;13 - Aufwendungen für Sach- und Dienstleistungen;5.294;36.450;55.830;18.190;18.190;18.190
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;14 - Bilanzielle Abschreibungen;4.361;12.880;5.246;5.246;5.246;5.246
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;16 - sonstige ordentl. Aufwendungen;191.622;250.725;220.708;218.708;218.708;218.708
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;17 = ordentliche Aufwendungen;988.126;909.048;1.006.006;1.039.682;1.081.710;1.118.497
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);959.131;897.048;995.006;1.028.682;1.070.710;1.107.497
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;22 = ordentliches Jahresergebnis (18 und 21);959.131;897.048;995.006;1.028.682;1.070.710;1.107.497
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);959.131;897.048;995.006;1.028.682;1.070.710;1.107.497
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);57.292;42.134;84.274;83.985;83.985;83.985
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;2;Rodenkirchen;28 = Jahresergebnis;1.016.423;939.182;1.079.280;1.112.667;1.154.696;1.191.482
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;05 - privatrechtl. Leistungsentgelte;-34;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;06 - Kostenerstattungen und Umlagen;-2;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;07 - sonstige ordentliche Erträge;-10.395;-2.500;-2.500;-2.500;-2.500;-2.500
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;10 = ordentliche Erträge;-10.431;-2.500;-2.500;-2.500;-2.500;-2.500
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;11 - Personalaufwendungen;641.773;534.682;572.783;629.669;665.306;697.533
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;13 - Aufwendungen für Sach- und Dienstleistungen;9.336;36.450;18.190;18.190;18.190;18.190
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;14 - Bilanzielle Abschreibungen;15.461;24.085;13.613;13.613;13.613;13.613
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;16 - sonstige ordentl. Aufwendungen;268.677;294.416;269.121;267.121;267.121;267.121
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;17 = ordentliche Aufwendungen;935.247;889.634;873.707;928.593;964.230;996.457
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);924.817;887.134;871.207;926.093;961.730;993.957
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;22 = ordentliches Jahresergebnis (18 und 21);924.817;887.134;871.207;926.093;961.730;993.957
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);924.817;887.134;871.207;926.093;961.730;993.957
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);64.899;51.563;79.969;79.716;79.716;79.716
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;3;Lindenthal;28 = Jahresergebnis;989.716;938.697;951.176;1.005.809;1.041.446;1.073.673
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;05 - privatrechtl. Leistungsentgelte;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;06 - Kostenerstattungen und Umlagen;-1;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;07 - sonstige ordentliche Erträge;-2.332;-3.000;-3.000;-3.000;-3.000;-3.000
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;10 = ordentliche Erträge;-2.333;-3.000;-3.000;-3.000;-3.000;-3.000
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;11 - Personalaufwendungen;547.339;407.749;583.470;640.519;677.024;710.274
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;13 - Aufwendungen für Sach- und Dienstleistungen;4.316;36.990;18.280;18.280;18.280;18.280
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;14 - Bilanzielle Abschreibungen;7.444;15.256;6.820;6.820;6.820;6.820
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;16 - sonstige ordentl. Aufwendungen;178.862;212.887;195.120;193.120;193.120;193.120
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;17 = ordentliche Aufwendungen;737.960;672.882;803.689;858.738;895.244;928.494
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);735.626;669.882;800.689;855.738;892.244;925.494
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;22 = ordentliches Jahresergebnis (18 und 21);735.626;669.882;800.689;855.738;892.244;925.494
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);735.626;669.882;800.689;855.738;892.244;925.494
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);52.116;35.637;69.800;69.548;69.548;69.548
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;4;Ehrenfeld;28 = Jahresergebnis;787.743;705.519;870.490;925.286;961.791;995.042
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;05 - privatrechtl. Leistungsentgelte;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;06 - Kostenerstattungen und Umlagen;-1;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;07 - sonstige ordentliche Erträge;-111.065;-2.500;-2.500;-2.500;-2.500;-2.500
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;10 = ordentliche Erträge;-111.067;-2.500;-2.500;-2.500;-2.500;-2.500
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;11 - Personalaufwendungen;735.400;602.201;715.920;787.850;831.073;869.582
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;13 - Aufwendungen für Sach- und Dienstleistungen;3.555;36.450;18.190;18.190;18.190;18.190
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;14 - Bilanzielle Abschreibungen;15.924;22.770;23.311;23.311;23.311;23.311
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;16 - sonstige ordentl. Aufwendungen;206.501;246.864;224.377;222.377;222.377;222.377
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;17 = ordentliche Aufwendungen;961.379;908.285;981.798;1.051.728;1.094.951;1.133.460
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);850.312;905.785;979.298;1.049.228;1.092.451;1.130.960
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;22 = ordentliches Jahresergebnis (18 und 21);850.312;905.785;979.298;1.049.228;1.092.451;1.130.960
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);850.312;905.785;979.298;1.049.228;1.092.451;1.130.960
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);64.647;49.016;82.092;81.827;81.827;81.827
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;5;Nippes;28 = Jahresergebnis;914.959;954.800;1.061.389;1.131.055;1.174.277;1.212.787
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;02 - Zuwendungen und allg. Umlagen;0;0;-1.000;-1.000;-1.000;-1.000
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;06 - Kostenerstattungen und Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;07 - sonstige ordentliche Erträge;-21;-700;-700;-700;-700;-700
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;10 = ordentliche Erträge;-21;-700;-1.700;-1.700;-1.700;-1.700
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;11 - Personalaufwendungen;634.754;531.853;635.742;699.146;738.548;774.080
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;13 - Aufwendungen für Sach- und Dienstleistungen;23.380;59.040;40.780;40.780;40.780;40.780
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;14 - Bilanzielle Abschreibungen;7.048;14.261;6.006;6.006;6.006;6.006
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;16 - sonstige ordentl. Aufwendungen;154.974;187.004;173.442;171.442;171.442;171.442
01;Innere Verwaltung;0111;Sonstige Innere Verwaltung;6;Chorweiler;17 = ordentliche Aufwendungen;820.156;792.158;855.970;917.374;956.776;992.308
