station_code,station_local_code,station_name,station_start_date,station_end_date,station_latitude_d,station_latitude_dms,station_longitude_d,station_longitude_dms,station_altitude,type_of_station,station_type_of_area,station_ozone_classification,station_subcat_rural_background,network_code
DEBB090,DEBB090,WMN_Cumlosen,19890101,,53.04187,+053.2.30,11.636464,+011.38.11,50,background,rural,rural,unknown,DE014A
DEBB091,DEBB091,WMN_Hohenwutzen,19890101,,52.836134,+052.50.10,14.122803,+014.7.22,50,background,rural,rural,unknown,DE014A
DEBB092,DEBB092,Frankfurt (Oder),20131001,,52.33468,+052.20.4,14.52596,+014.31.33,74,background,suburban,suburban,unknown,DE014A
DEBB093,DEBB093,zDep_Natteheide,20050101,,53.098,+053.5.52,12.43,+012.25.47,,background,rural,rural background,remote,DE014A
DEBB094,DEBB094,zDep_Beerenbusch,20050101,,53.141,+053.8.27,12.936,+012.56.9,,background,rural,rural background,remote,DE014A
DEBB095,DEBB095,zDep_Kienhorst,20050101,,52.974,+052.58.26,13.646,+013.38.45,,background,rural,rural background,remote,DE014A
DEBB096,DEBB096,zDep_Weizgrund,20050101,,52.194,+052.11.38,12.562,+012.33.43,,background,rural,rural background,remote,DE014A
DEBB097,DEBB097,zDep_Neusorgefeld,20050101,,51.803,+051.48.10,13.566,+013.33.57,,background,rural,rural background,remote,DE014A
DEBE010,DEBE010,B Wedding-Amrumer Str.,19841101,,52.543007,+052.32.34,13.349116,+013.20.56,35,background,urban,urban,unknown,DE008A
DEBE018,DEBE018,B Schöneberg-Belziger Straße,19861101,,52.485814,+052.29.8,13.348775,+013.20.55,40,background,urban,urban,unknown,DE008A
DEBE027,DEBE027,B Marienfelde-Schichauweg,19890401,,52.398406,+052.23.54,13.368103,+013.22.5,45,background,rural,rural,near-city,DE008A
DEBE032,DEBE032,B Grunewald (3.5 m),19861001,,52.473192,+052.28.23,13.225144,+013.13.30,50,background,rural,rural,near-city,DE008A
DEBE034,DEBE034,B Neukölln-Nansenstraße,19860301,,52.489451,+052.29.22,13.430844,+013.25.51,35,background,urban,urban,unknown,DE008A
DEBE051,DEBE051,B Buch,19930201,,52.643525,+052.38.36,13.489531,+013.29.22,60,background,suburban,suburban,unknown,DE008A
DEBE056,DEBE056,B Friedrichshagen,19940201,,52.447697,+052.26.51,13.64705,+013.38.49,35,background,rural,rural,near-city,DE008A
DEBE061,DEBE061,B Steglitz-Schildhornstr.,19941101,,52.463611,+052.27.48,13.31825,+013.19.5,45,traffic,urban,urban,unknown,DE008A
DEBE062,DEBE062,"B Frohnau, Funkturm (3.5 m)",19960201,,52.653269,+052.39.11,13.296081,+013.17.45,50,background,rural,rural,near-city,DE008A
DEBE063,DEBE063,B Neukölln-Silbersteinstr.,19960501,,52.467534,+052.28.3,13.441654,+013.26.29,40,traffic,urban,urban,unknown,DE008A
DEBE064,DEBE064,B Neukölln-Karl-Marx-Str. 76,19930801,,52.481709,+052.28.54,13.433967,+013.26.2,40,traffic,urban,urban,unknown,DE008A
DEBE065,DEBE065,B Friedrichshain-Frankfurter Allee,19930901,,52.514072,+052.30.50,13.469931,+013.28.11,40,traffic,urban,urban,unknown,DE008A
DEBE066,DEBE066,B Karlshorst-Rheingoldstr./Königswinterstr.,19990701,,52.485261,+052.29.6,13.529503,+013.31.46,35,background,urban,urban,unknown,DE008A
DEBE067,DEBE067,B Hardenbergplatz,20040101,,52.5066,+052.30.23,13.332972,+013.19.58,35,traffic,urban,urban,unknown,DE008A
DEBE068,DEBE068,"B Mitte, Brückenstraße",20030101,,52.513606,+052.30.48,13.418833,+013.25.7,35,background,urban,urban,unknown,DE008A
DEBE069,DEBE069,"B Mariendorf, Mariendorfer Damm",20090101,,52.438115,+052.26.17,13.38772,+013.23.15,50,traffic,urban,urban,unknown,DE008A
DEBE070,DEBE070,"Dep_Grunewald, Jagen 91",20050101,,52.478,+052.28.40,13.225,+013.13.29,,background,rural,rural background,remote,DE008A
DEBE071,DEBE071,"Dep_Grunewald, Jagen 63",20050101,,52.472,+052.28.19,13.227,+013.13.37,,background,rural,rural background,remote,DE008A
DEBE072,DEBE072,Dep_Koepenick,20050101,,52.432,+052.25.55,13.615,+013.36.54,,background,rural,rural background,remote,DE008A
DEBW004,DEBW004,Eggenstein,19760901,,49.07655,+049.4.35,8.40666,+08.24.23,109,background,rural,rural,near-city,DE005A
DEBW005,DEBW005,Mannheim-Nord,19750101,,49.544078,+049.32.38,8.465281,+08.27.55,94,industrial,suburban,suburban,unknown,DE005A
DEBW006,DEBW006,Mannheim-Mitte,19750101,,49.475758,+049.28.32,8.478017,+08.28.40,94,background,urban,urban,unknown,DE005A
DEBW009,DEBW009,Heidelberg,19840101,,49.419528,+049.25.10,8.6767,+08.40.36,112,background,urban,urban,unknown,DE005A
DEBW010,DEBW010,Wiesloch,19860501,,49.300731,+049.18.2,8.700103,+08.42.0,162,background,suburban,suburban,unknown,DE005A
DEBW013,DEBW013,Stuttgart Bad Cannstatt,19810101,,48.8088,+048.48.31,9.229745,+09.13.47,235,background,urban,urban,unknown,DE005A
DEBW015,DEBW015,Heilbronn,19791101,,49.165508,+049.9.55,9.224786,+09.13.29,157,background,suburban,suburban,unknown,DE005A
DEBW019,DEBW019,Ulm,19781001,,48.396836,+048.23.48,9.979031,+09.58.44,481,background,urban,urban,unknown,DE005A
DEBW022,DEBW022,Kehl,19820201,,48.578178,+048.34.41,7.802317,+07.48.8,136,industrial,suburban,suburban,unknown,DE005A
DEBW023,DEBW023,Weil am Rhein,19820201,,47.588152,+047.35.17,7.633271,+07.37.59,275,background,suburban,suburban,unknown,DE005A
DEBW024,DEBW024,Ludwigsburg,19820301,,48.899233,+048.53.57,9.172792,+09.10.22,302,background,suburban,suburban,unknown,DE005A
DEBW026,DEBW026,Plochingen,19820201,,48.708653,+048.42.31,9.414453,+09.24.52,252,background,suburban,suburban,unknown,DE005A
DEBW027,DEBW027,Reutlingen,19820201,,48.488887,+048.29.19,9.20732,+09.12.26,385,background,urban,urban,unknown,DE005A
DEBW029,DEBW029,Aalen,19820301,,48.847917,+048.50.52,10.096292,+010.5.46,424,background,suburban,suburban,unknown,DE005A
DEBW031,DEBW031,Schwarzwald-Süd,19840101,,47.809892,+047.48.35,7.764528,+07.45.52,904,background,rural,rural,regional,DE005A
DEBW033,DEBW033,Pforzheim,19890401,,48.889039,+048.53.20,8.665536,+08.39.55,278,background,urban,urban,unknown,DE005A
DEBW038,DEBW038,Friedrichshafen,19870101,,47.660056,+047.39.36,9.485675,+09.29.8,404,background,urban,urban,unknown,DE005A
DEBW039,DEBW039,Villingen-Schwenningen,19870601,,48.048656,+048.2.55,8.463597,+08.27.48,700,background,suburban,suburban,unknown,DE005A
DEBW042,DEBW042,Bernhausen,19891201,,48.678069,+048.40.41,9.227769,+09.13.39,370,background,suburban,suburban,unknown,DE005A
DEBW046,DEBW046,Biberach,19901101,,48.089886,+048.5.23,9.800325,+09.48.1,534,background,suburban,suburban,unknown,DE005A
DEBW052,DEBW052,Konstanz,19900901,,47.664361,+047.39.51,9.169289,+09.10.9,403,background,urban,urban,unknown,DE005A
DEBW056,DEBW056,Schwäbisch_Hall,19910101,,49.107878,+049.6.28,9.733231,+09.43.59,306,background,suburban,suburban,unknown,DE005A
DEBW059,DEBW059,Tauberbischofsheim,19901101,,49.634841,+049.38.5,9.657919,+09.39.28,177,background,suburban,suburban,unknown,DE005A
DEBW073,DEBW073,Neuenburg,19921101,,47.819019,+047.49.8,7.567969,+07.34.4,223,background,suburban,suburban,unknown,DE005A
DEBW076,DEBW076,Baden-Baden,19930422,,48.773072,+048.46.23,8.220214,+08.13.12,148,background,suburban,suburban,unknown,DE005A
DEBW080,DEBW080,Karlsruhe_Reinhold-Frank-Strasse,19940315,,49.00796,+049.0.28,8.38719,+08.23.13,119,traffic,urban,urban,unknown,DE005A
DEBW081,DEBW081,Karlsruhe-Nordwest,19850301,,49.028594,+049.1.42,8.355628,+08.21.20,114,background,urban,urban,unknown,DE005A
DEBW084,DEBW084,Freiburg,19790601,,48.001511,+048.0.5,7.832122,+07.49.55,262,background,urban,urban,unknown,DE005A
DEBW087,DEBW087,Schwäbische_Alb,19940427,,48.345778,+048.20.44,9.207639,+09.12.27,798,background,rural,rural,regional,DE005A
DEBW098,DEBW098,Mannheim_Friedrichsring,19940428,,49.49256,+049.29.33,8.47204,+08.28.19,101,traffic,urban,urban,unknown,DE005A
DEBW099,DEBW099,Stuttgart_Arnulf-Klett-Platz,19941206,,48.78313,+048.46.59,9.18072,+09.10.50,244,traffic,urban,urban,unknown,DE005A
DEBW107,DEBW107,Tübingen,20020122,,48.507703,+048.30.27,9.051178,+09.3.4,325,background,suburban,suburban,unknown,DE005A
DEBW112,DEBW112,Gaertringen,20051221,,48.645608,+048.38.44,8.904442,+08.54.15,466,background,suburban,suburban,unknown,DE005A
DEBW116,DEBW116,Stuttgart Hohenheimer Straße (S),20031223,,48.76871,+048.46.7,9.18449,+09.11.4,302,traffic,urban,urban,unknown,DE005A
DEBW117,DEBW117,Ludwigsburg Friedrichstraße (S),20031223,,48.8892,+048.53.21,9.19003,+09.11.24,299,traffic,urban,urban,unknown,DE005A
DEBW118,DEBW118,Stuttgart Am Neckartor (S),20031223,,48.7881,+048.47.17,9.19101,+09.11.27,239,traffic,urban,urban,unknown,DE005A
DEBW120,DEBW120,Leonberg Grabenstraße (S),20041229,,48.80102,+048.48.3,9.01652,+09.0.59,387,traffic,urban,urban,unknown,DE005A
DEBW121,DEBW121,Pleidelsheim Beihinger Straße (S),20040107,,48.95934,+048.57.33,9.20515,+09.12.18,195,traffic,urban,urban,unknown,DE005A
DEBW122,DEBW122,Freiburg Schwarzwaldstraße (V),20041227,,47.9882,+047.59.17,7.85992,+07.51.35,289,traffic,urban,urban,unknown,DE005A
DEBW125,DEBW125,Pfinztal Karlsruher Straße (S),20060101,,49.00371,+049.0.13,8.52628,+08.31.34,135,traffic,suburban,suburban,unknown,DE005A
DEBW126,DEBW126,Karlsruhe Kriegsstraße (S),20060101,,49.00536,+049.0.19,8.36927,+08.22.9,117,traffic,urban,urban,unknown,DE005A
DEBW127,DEBW127,Freiburg Zähringer Straße (S),20040101,,48.01343,+048.0.48,7.85502,+07.51.18,257,traffic,urban,urban,unknown,DE005A
DEBW128,DEBW128,Mühlacker Stuttgarter Straße (S),20060101,,48.9466,+048.56.47,8.84569,+08.50.44,243,traffic,suburban,suburban,unknown,DE005A
DEBW130,DEBW130,Pforzheim Jahnstraße (S),20050101,,48.88803,+048.53.16,8.69587,+08.41.45,256,traffic,urban,urban,unknown,DE005A
DEBW133,DEBW133,Ilsfeld König-Wilhelm-Straße (S),20040101,,49.05513,+049.3.18,9.24402,+09.14.38,230,traffic,suburban,suburban,unknown,DE005A
DEBW134,DEBW134,Stuttgart Waiblinger Straße,20040101,,48.80377,+048.48.13,9.22036,+09.13.13,223,traffic,urban,urban,unknown,DE005A
DEBW135,DEBW135,Herrenberg Hindenburger Straße (S),20060101,,48.59476,+048.35.41,8.86912,+08.52.8,432,traffic,urban,urban,unknown,DE005A
DEBW136,DEBW136,Tübingen Mühlstraße (S),20040101,,48.52023,+048.31.12,9.05802,+09.3.28,340,traffic,urban,urban,unknown,DE005A
DEBW137,DEBW137,Tübingen-Unterjesingen Jesinger Hauptstraße (S),20050101,,48.52639,+048.31.35,8.97944,+08.58.45,355,traffic,rural,rural,unknown,DE005A
DEBW138,DEBW138,Ulm Zinglerstraße (S),20060101,,48.39463,+048.23.40,9.98348,+09.59.0,481,traffic,urban,urban,unknown,DE005A
DEBW142,DEBW142,Markgröningen Grabenstraße (S),20070101,,48.90292,+048.54.10,9.08135,+09.4.52,276,traffic,suburban,suburban,unknown,DE005A
DEBW144,DEBW144,Walzbachtal-Jöhlingen Bahnhofstraße (S),20070101,,49.02757,+049.1.39,8.57697,+08.34.37,168,traffic,suburban,suburban,unknown,DE005A
DEBW145,DEBW145,Heidenheim Wilhelmstraße (S),20070101,,48.67942,+048.40.45,10.15065,+010.9.2,496,traffic,suburban,suburban,unknown,DE005A
DEBW147,DEBW147,Reutlingen Lederstraße Ost (S),20070321,,48.48933,+048.29.21,9.21079,+09.12.38,382,traffic,urban,urban,unknown,DE005A
DEBW148,DEBW148,Ingersheim Tiefengasse (S),20080101,,48.96047,+048.57.37,9.18403,+09.11.2,208,traffic,suburban,suburban,unknown,DE005A
DEBW149,DEBW149,Urbach Hauptstraße (S),20080101,,48.80923,+048.48.33,9.57939,+09.34.45,265,traffic,suburban,suburban,unknown,DE005A
DEBW150,DEBW150,Murg Hauptstraße (S),20080101,,47.55362,+047.33.13,8.02117,+08.1.16,300,traffic,suburban,suburban,unknown,DE005A
DEBW151,DEBW151,Heidelberg Mittermaierstraße (S),20090101,,49.40725,+049.24.26,8.677,+08.40.37,117,traffic,urban,urban,unknown,DE005A
DEBW152,DEBW152,Heilbronn Weinsberger Straße Ost (S),20090101,,49.146,+049.8.45,9.22589,+09.13.33,165,traffic,urban,urban,unknown,DE005A
DEBW153,DEBW153,Ulm Karlstraße (S),20090101,,48.40412,+048.24.14,9.98726,+09.59.14,481,traffic,urban,urban,unknown,DE005A
DEBW154,DEBW154,Freiberg Benninger Straße,20080101,,48.93795,+048.56.16,9.20434,+09.12.15,193,traffic,suburban,suburban,unknown,DE005A
DEBW155,DEBW155,"Schwäbisch Gmünd, Remsstraße (S)",20090101,,48.8024,+048.48.8,9.79584,+09.47.45,325,traffic,urban,urban,unknown,DE005A
DEBW156,DEBW156,Schramberg Oberndorfer Straße,20110801,,48.22915,+048.13.44,8.39062,+08.23.26,458,traffic,urban,urban,unknown,DE005A
DEBW158,DEBW158,Forst_Hockenheim,19961015,,49.3333,+049.19.59,8.6065,+08.36.23,100,background,rural,rural,unknown,DE005A
DEBW159,DEBW159,FVA Pflanzgarten,19971010,,47.976319,+047.58.34,7.844395,+07.50.39,295,background,rural,rural,unknown,DE005A
DEBW160,DEBW160,Forst_Hartheim,20000417,,47.9344,+047.56.3,7.5948,+07.35.41,200,background,rural,rural,unknown,DE005A
DEBW161,DEBW161,Forst_Heidelberg,20050101,,49.4643,+049.27.51,8.7545,+08.45.16,,background,rural,rural,unknown,DE005A
DEBW162,DEBW162,"Forst_Wallduern, Mudau",19950425,,49.5289,+049.31.44,9.174,+09.10.26,515,background,rural,rural,unknown,DE005A
DEBW163,DEBW163,Forst_Rotenfels,20031022,,48.8141,+048.48.50,8.3965,+08.23.47,600,background,rural,rural,unknown,DE005A
DEBW164,DEBW164,Forst_Büchenbronn,20061025,,48.8547,+048.51.16,8.672,+08.40.19,305,background,rural,rural,unknown,DE005A
DEBW165,DEBW165,Forst_Gengenbach,20030922,,48.4316,+048.25.53,8.1467,+08.8.48,780,background,rural,rural,unknown,DE005A
DEBW166,DEBW166,Blauen,20050101,,47.782,+047.46.55,7.7022,+07.42.7,1020,background,rural,rural,unknown,DE005A
DEBW167,DEBW167,Forst_Altensteig (Egenhausen),20090526,,48.5954,+048.35.43,8.6489,+08.38.56,490,background,rural,rural,unknown,DE005A
DEBW168,DEBW168,Forst_Altensteig (Berneck),19910705,,48.6012,+048.36.4,8.6455,+08.38.43,490,background,rural,rural,unknown,DE005A
DEBW170,DEBW170,Forst_Schauinsland,19851121,,47.9147,+047.54.52,7.9093,+07.54.33,1200,background,rural,rural,regional,DE005A
DEBW171,DEBW171,"Forst_St.Maergen, Conventwald",19920101,,48.0219,+048.1.18,7.967,+07.58.1,750,background,rural,rural,unknown,DE005A
DEBW172,DEBW172,Forst_Neckarwestheim,19961025,,49.0359,+049.2.9,9.2432,+09.14.35,290,background,rural,rural,unknown,DE005A
DEBW173,DEBW173,Forst_Welzheim,19921029,,48.8808,+048.52.50,9.5799,+09.34.47,550,background,rural,rural,unknown,DE005A
DEBW174,DEBW174,Forst_Schönbuch,19830819,,48.5895,+048.35.22,9.0556,+09.3.20,450,background,rural,rural,unknown,DE005A
DEBW176,DEBW176,Forst_Schwäbisch Hall,20071009,,49.026607,+049.1.35,9.801541,+09.48.5,510,background,rural,rural,unknown,DE005A
DEBW177,DEBW177,Forst_Rosenfeld (Brittheim),19950922,,48.2973,+048.17.50,8.6631,+08.39.47,660,background,rural,rural,unknown,DE005A
DEBW178,DEBW178,Forst_TBB-Großrinderfeld,19951016,,49.6908,+049.41.26,9.7597,+09.45.34,395,background,rural,rural,unknown,DE005A
DEBW179,DEBW179,Forst_Jettingen,20051019,,48.5941,+048.35.38,8.8005,+08.48.1,,background,rural,rural,unknown,DE005A
DEBW180,DEBW180,Forst_Löffingen,19891030,,47.9285,+047.55.42,8.3207,+08.19.14,880,background,rural,rural,unknown,DE005A
DEBW181,DEBW181,Forst_Grubenhau,19961101,,48.5472,+048.32.49,10.1576,+010.9.27,515,background,rural,rural,unknown,DE005A
DEBW182,DEBW182,Forst_Blumberg,19870401,,47.7943,+047.47.39,8.5558,+08.33.20,870,background,rural,rural,unknown,DE005A
DEBW183,DEBW183,Forst_Tuttlingen,19940929,,47.9961,+047.59.45,8.997,+08.59.49,730,background,rural,rural,unknown,DE005A
DEBW184,DEBW184,Forst_Brunnenholzried,19851206,,47.951,+047.57.3,9.7203,+09.43.13,585,background,rural,rural,unknown,DE005A
DEBW185,DEBW185,Forst_Fronhofen,19941027,,47.8599,+047.51.35,9.4915,+09.29.29,700,background,rural,rural,unknown,DE005A
DEBW186,DEBW186,Forst_Ochsenhausen-Steinhausen,20080604,,48.0155,+048.0.55,9.9669,+09.58.0,665,background,rural,rural,unknown,DE005A
DEBW187,DEBW187,Forst_Isny,20091022,,47.7323,+047.43.56,10.0895,+010.5.22,920,background,rural,rural,unknown,DE005A
DEBW188,DEBW188,Depo_Gerabronn,20070101,,49.251141,+049.15.4,9.929172,+09.55.45,466,background,rural,rural,unknown,DE005A
DEBW189,DEBW189,Depo_Karlsruhe Hertzstraße,20070101,,49.037136,+049.2.13,8.363847,+08.21.49,113,background,suburban,suburban,unknown,DE005A
DEBW190,DEBW190,Depo_Kehl Kinzigallee,20070101,,48.574366,+048.34.27,7.819889,+07.49.11,135,background,suburban,suburban,unknown,DE005A
DEBW191,DEBW191,Depo_Bad Wurzach,20070101,,47.934538,+047.56.4,9.897128,+09.53.49,660,background,rural,rural,unknown,DE005A
DEBW192,DEBW192,Depo_Illmensee,20070101,,47.830263,+047.49.48,9.388747,+09.23.19,832,background,rural,rural,unknown,DE005A
DEBW193,DEBW193,Depo_Isny im Allgäu,20070101,,47.72335,+047.43.24,10.065433,+010.3.55,699,background,rural,rural,unknown,DE005A
DEBW194,DEBW194,Depo_Stötten,20070101,,48.665694,+048.39.56,9.86475,+09.51.53,732,background,rural,rural,unknown,DE005A
DEBW196,DEBW196,Fellbach Burgstraße,20140101,,48.804628,+048.48.16,9.277553,+09.16.39,302,background,suburban,suburban,unknown,DE005A
DEBW197,DEBW197,Lahr Reichenbacher Hauptstraße,20130101,,48.33051,+048.19.49,7.92429,+07.55.27,194,traffic,suburban,suburban,unknown,DE005A
DEBW198,DEBW198,Mögglingen Hauptstraße,20130101,,48.82276,+048.49.21,9.96404,+09.57.50,413,traffic,suburban,suburban,unknown,DE005A
DEBW201,DEBW201,Forst_Esslingen,20111101,,48.7672,+048.46.1,9.4378,+09.26.16,413,background,rural,rural,unknown,DE005A
DEBW202,DEBW202,Horb Neckarstr.,20140101,,48.469139,+048.28.8,8.630253,+08.37.48,395,background,suburban,suburban,unknown,DE005A
DEBW203,DEBW203,Untermünkheim Hohenloher Str.,20140101,,49.15244,+049.9.8,9.73401,+09.44.2,270,background,suburban,suburban,unknown,DE005A
DEBW204,DEBW204,Dep_AltensteigFichte,20100101,,48.7672,+048.46.1,9.4378,+09.26.16,413,background,rural,rural,unknown,DE005A
DEBW205,DEBW205,Dep_HeidelbergBuche,20100101,,48.7672,+048.46.1,9.4378,+09.26.16,413,background,rural,rural,unknown,DE005A
DEBW206,DEBW206,Dep_St.MaergenBuche,20100101,,48.7672,+048.46.1,9.4378,+09.26.16,413,background,rural,rural,unknown,DE005A
DEBW207,DEBW207,Dep_OchsenhausenBuche,20100101,,48.7672,+048.46.1,9.4378,+09.26.16,413,background,rural,rural,unknown,DE005A
DEBW208,DEBW208,Dep_AltensteigBuche,20100101,,48.7672,+048.46.1,9.4378,+09.26.16,413,background,rural,rural,unknown,DE005A
DEBW209,DEBW209,Dep_EsslingenBuche,20100101,,48.7672,+048.46.1,9.4378,+09.26.16,413,background,rural,rural,unknown,DE005A
DEBY001,DEBY001,Ansbach/Residenzstraße,19890701,,49.304889,+049.18.17,10.572297,+010.34.20,400,traffic,urban,urban,unknown,DE007A
DEBY002,DEBY002,Arzberg/Egerstraße,19800101,,50.058195,+050.3.29,12.18865,+012.11.19,480,background,urban,urban,unknown,DE007A
DEBY004,DEBY004,Kleinwallstadt/Hofstetter Straße,19780801,,49.869422,+049.52.9,9.171544,+09.10.17,124,background,rural,rural,near-city,DE007A
DEBY005,DEBY005,Aschaffenburg/Bussardweg,19780801,,49.991518,+049.59.29,9.117973,+09.7.4,134,background,suburban,suburban,unknown,DE007A
DEBY006,DEBY006,Augsburg/Königsplatz,19750101,,48.364589,+048.21.52,10.895029,+010.53.42,492,traffic,urban,urban,unknown,DE007A
DEBY007,DEBY007,Augsburg/Bourges-Platz,19860801,,48.376576,+048.22.35,10.88837,+010.53.18,477,background,urban,urban,unknown,DE007A
DEBY009,DEBY009,Bamberg/Löwenbrücke,19780101,,49.89833,+049.53.53,10.887686,+010.53.15,231,background,urban,urban,unknown,DE007A
DEBY012,DEBY012,Burghausen/Marktler Straße,19760101,,48.177175,+048.10.37,12.829314,+012.49.45,420,background,suburban,suburban,unknown,DE007A
DEBY013,DEBY013,Mehring/Sportplatz,19770301,,48.182835,+048.10.58,12.781387,+012.46.52,415,background,rural,rural,regional,DE007A
DEBY014,DEBY014,Coburg/Lossaustraße,19870201,,50.260578,+050.15.38,10.959312,+010.57.33,291,traffic,urban,urban,unknown,DE007A
DEBY020,DEBY020,Hof/LfU,19880601,,50.320611,+050.19.14,11.897492,+011.53.50,525,background,suburban,suburban,unknown,DE007A
DEBY021,DEBY021,Ingolstadt/Rechbergstraße,19890601,,48.769444,+048.46.9,11.428766,+011.25.43,374,traffic,urban,urban,unknown,DE007A
DEBY026,DEBY026,Vohburg a.d. Donau/Austraße,19780801,,48.769026,+048.46.8,11.616808,+011.37.0,356,background,suburban,suburban,unknown,DE007A
DEBY028,DEBY028,Kelheim/Regensburger Straße,19750101,,48.909518,+048.54.34,11.879245,+011.52.45,348,traffic,urban,urban,unknown,DE007A
DEBY030,DEBY030,Saal a.d. Donau/Regensburger Straße,19780801,,48.904228,+048.54.15,11.948795,+011.56.55,340,background,suburban,suburban,unknown,DE007A
DEBY031,DEBY031,Kempten (Allgäu)/Westendstraße,19760101,,47.72514,+047.43.30,10.306561,+010.18.23,678,background,suburban,suburban,unknown,DE007A
DEBY032,DEBY032,Kulmbach/Konrad-Adenauer-Straße,19881001,,50.103135,+050.6.11,11.442591,+011.26.33,303,background,urban,urban,unknown,DE007A
DEBY033,DEBY033,Landshut/Podewilsstraße,19851201,,48.539801,+048.32.23,12.157051,+012.9.25,390,traffic,urban,urban,unknown,DE007A
