Produktbereich,PB_BEZ,Teilplan,PG_BEZ,Bezirk,Bezeichnung,Teilplanzeile,Ergebnis 2010,Plan 2011,Plan 2012,Plan 2013,Plan 2014,Plan 2015
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",2,Rodenkirchen,22 = ordentliches Jahresergebnis (18 und 21),5048,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",2,Rodenkirchen,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),5048,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",2,Rodenkirchen,28 = Jahresergebnis,5048,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",3,Lindenthal,13 - Aufwendungen für Sach- und Dienstleistungen,2850,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",3,Lindenthal,16 - sonstige ordentl. Aufwendungen,2368,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",3,Lindenthal,17 = ordentliche Aufwendungen,5219,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",3,Lindenthal,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),5219,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",3,Lindenthal,22 = ordentliches Jahresergebnis (18 und 21),5219,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",3,Lindenthal,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),5219,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",3,Lindenthal,28 = Jahresergebnis,5219,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",4,Ehrenfeld,13 - Aufwendungen für Sach- und Dienstleistungen,3646,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",4,Ehrenfeld,16 - sonstige ordentl. Aufwendungen,1458,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",4,Ehrenfeld,17 = ordentliche Aufwendungen,5104,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",4,Ehrenfeld,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),5104,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",4,Ehrenfeld,22 = ordentliches Jahresergebnis (18 und 21),5104,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",4,Ehrenfeld,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),5104,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",4,Ehrenfeld,28 = Jahresergebnis,5104,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",5,Nippes,13 - Aufwendungen für Sach- und Dienstleistungen,2160,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",5,Nippes,16 - sonstige ordentl. Aufwendungen,2998,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",5,Nippes,17 = ordentliche Aufwendungen,5159,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",5,Nippes,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),5159,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",5,Nippes,22 = ordentliches Jahresergebnis (18 und 21),5159,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",5,Nippes,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),5159,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",5,Nippes,28 = Jahresergebnis,5159,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",6,Chorweiler,13 - Aufwendungen für Sach- und Dienstleistungen,4493,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",6,Chorweiler,16 - sonstige ordentl. Aufwendungen,765,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",6,Chorweiler,17 = ordentliche Aufwendungen,5258,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",6,Chorweiler,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),5258,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",6,Chorweiler,22 = ordentliches Jahresergebnis (18 und 21),5258,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",6,Chorweiler,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),5258,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",6,Chorweiler,28 = Jahresergebnis,5258,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",7,Porz,13 - Aufwendungen für Sach- und Dienstleistungen,3757,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",7,Porz,16 - sonstige ordentl. Aufwendungen,945,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",7,Porz,17 = ordentliche Aufwendungen,4702,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",7,Porz,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),4702,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",7,Porz,22 = ordentliches Jahresergebnis (18 und 21),4702,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",7,Porz,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),4702,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",7,Porz,28 = Jahresergebnis,4702,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",8,Kalk,13 - Aufwendungen für Sach- und Dienstleistungen,4293,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",8,Kalk,16 - sonstige ordentl. Aufwendungen,1466,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",8,Kalk,17 = ordentliche Aufwendungen,5759,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",8,Kalk,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),5759,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",8,Kalk,22 = ordentliches Jahresergebnis (18 und 21),5759,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",8,Kalk,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),5759,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",8,Kalk,28 = Jahresergebnis,5759,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",9,Mühlheim,13 - Aufwendungen für Sach- und Dienstleistungen,4020,3500,3500,3500,3500,3500
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",9,Mühlheim,16 - sonstige ordentl. Aufwendungen,1110,1750,1750,1750,1750,1750
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",9,Mühlheim,17 = ordentliche Aufwendungen,5129,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",9,Mühlheim,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),5129,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",9,Mühlheim,22 = ordentliches Jahresergebnis (18 und 21),5129,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",9,Mühlheim,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),5129,5250,5250,5250,5250,5250
01,Innere Verwaltung,0101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten",9,Mühlheim,28 = Jahresergebnis,5129,5250,5250,5250,5250,5250
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,02 - Zuwendungen und allg. Umlagen,-406777,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,10 = ordentliche Erträge,-406777,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,13 - Aufwendungen für Sach- und Dienstleistungen,396303,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,16 - sonstige ordentl. Aufwendungen,1927,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,17 = ordentliche Aufwendungen,398229,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),-8548,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,22 = ordentliches Jahresergebnis (18 und 21),-8548,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),-8548,0,0,0,0,0
01,Innere Verwaltung,0108,Zentrale Liegenschaftsangelegenheiten,1,Innenstadt,28 = Jahresergebnis,-8548,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,02 - Zuwendungen und allg. Umlagen,-435,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,05 - privatrechtl. Leistungsentgelte,-78,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,06 - Kostenerstattungen und Umlagen,-13,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,07 - sonstige ordentliche Erträge,-6375,-5000,-5000,-5000,-5000,-5000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,10 = ordentliche Erträge,-6901,-5000,-5000,-5000,-5000,-5000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,11 - Personalaufwendungen,1123013,1013805,543934,599108,632280,661841
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,13 - Aufwendungen für Sach- und Dienstleistungen,79961,42900,22370,22370,22370,22370
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,14 - Bilanzielle Abschreibungen,19841,23919,13329,13329,13329,13329
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,16 - sonstige ordentl. Aufwendungen,277147,358109,298338,296338,296338,296338
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,17 = ordentliche Aufwendungen,1499962,1438733,877971,931145,964318,993878
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),1493061,1433733,872971,926145,959318,988878
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,22 = ordentliches Jahresergebnis (18 und 21),1493061,1433733,872971,926145,959318,988878
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),1493061,1433733,872971,926145,959318,988878
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag),90878,56948,111991,111631,111631,111631
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,1,Innenstadt,28 = Jahresergebnis,1583939,1490681,984962,1037775,1070948,1100509
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,05 - privatrechtl. Leistungsentgelte,-114,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,06 - Kostenerstattungen und Umlagen,0,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,07 - sonstige ordentliche Erträge,-28880,-12000,-11000,-11000,-11000,-11000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,10 = ordentliche Erträge,-28994,-12000,-11000,-11000,-11000,-11000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,11 - Personalaufwendungen,786849,608994,724221,797537,839566,876353
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,13 - Aufwendungen für Sach- und Dienstleistungen,5294,36450,55830,18190,18190,18190
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,14 - Bilanzielle Abschreibungen,4361,12880,5246,5246,5246,5246
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,16 - sonstige ordentl. Aufwendungen,191622,250725,220708,218708,218708,218708
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,17 = ordentliche Aufwendungen,988126,909048,1006006,1039682,1081710,1118497
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),959131,897048,995006,1028682,1070710,1107497
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,22 = ordentliches Jahresergebnis (18 und 21),959131,897048,995006,1028682,1070710,1107497
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),959131,897048,995006,1028682,1070710,1107497
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag),57292,42134,84274,83985,83985,83985
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,2,Rodenkirchen,28 = Jahresergebnis,1016423,939182,1079280,1112667,1154696,1191482
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,05 - privatrechtl. Leistungsentgelte,-34,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,06 - Kostenerstattungen und Umlagen,-2,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,07 - sonstige ordentliche Erträge,-10395,-2500,-2500,-2500,-2500,-2500
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,10 = ordentliche Erträge,-10431,-2500,-2500,-2500,-2500,-2500
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,11 - Personalaufwendungen,641773,534682,572783,629669,665306,697533
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,13 - Aufwendungen für Sach- und Dienstleistungen,9336,36450,18190,18190,18190,18190
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,14 - Bilanzielle Abschreibungen,15461,24085,13613,13613,13613,13613
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,16 - sonstige ordentl. Aufwendungen,268677,294416,269121,267121,267121,267121
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,17 = ordentliche Aufwendungen,935247,889634,873707,928593,964230,996457
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),924817,887134,871207,926093,961730,993957
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,22 = ordentliches Jahresergebnis (18 und 21),924817,887134,871207,926093,961730,993957
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),924817,887134,871207,926093,961730,993957
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag),64899,51563,79969,79716,79716,79716
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,3,Lindenthal,28 = Jahresergebnis,989716,938697,951176,1005809,1041446,1073673
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,05 - privatrechtl. Leistungsentgelte,0,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,06 - Kostenerstattungen und Umlagen,-1,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,07 - sonstige ordentliche Erträge,-2332,-3000,-3000,-3000,-3000,-3000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,10 = ordentliche Erträge,-2333,-3000,-3000,-3000,-3000,-3000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,11 - Personalaufwendungen,547339,407749,583470,640519,677024,710274
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,13 - Aufwendungen für Sach- und Dienstleistungen,4316,36990,18280,18280,18280,18280
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,14 - Bilanzielle Abschreibungen,7444,15256,6820,6820,6820,6820
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,16 - sonstige ordentl. Aufwendungen,178862,212887,195120,193120,193120,193120
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,17 = ordentliche Aufwendungen,737960,672882,803689,858738,895244,928494
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),735626,669882,800689,855738,892244,925494
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,22 = ordentliches Jahresergebnis (18 und 21),735626,669882,800689,855738,892244,925494
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),735626,669882,800689,855738,892244,925494
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag),52116,35637,69800,69548,69548,69548
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,4,Ehrenfeld,28 = Jahresergebnis,787743,705519,870490,925286,961791,995042
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,05 - privatrechtl. Leistungsentgelte,0,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,06 - Kostenerstattungen und Umlagen,-1,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,07 - sonstige ordentliche Erträge,-111065,-2500,-2500,-2500,-2500,-2500
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,10 = ordentliche Erträge,-111067,-2500,-2500,-2500,-2500,-2500
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,11 - Personalaufwendungen,735400,602201,715920,787850,831073,869582
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,13 - Aufwendungen für Sach- und Dienstleistungen,3555,36450,18190,18190,18190,18190
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,14 - Bilanzielle Abschreibungen,15924,22770,23311,23311,23311,23311
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,16 - sonstige ordentl. Aufwendungen,206501,246864,224377,222377,222377,222377
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,17 = ordentliche Aufwendungen,961379,908285,981798,1051728,1094951,1133460
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),850312,905785,979298,1049228,1092451,1130960
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,22 = ordentliches Jahresergebnis (18 und 21),850312,905785,979298,1049228,1092451,1130960
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),850312,905785,979298,1049228,1092451,1130960
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag),64647,49016,82092,81827,81827,81827
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,5,Nippes,28 = Jahresergebnis,914959,954800,1061389,1131055,1174277,1212787
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,02 - Zuwendungen und allg. Umlagen,0,0,-1000,-1000,-1000,-1000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,06 - Kostenerstattungen und Umlagen,0,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,07 - sonstige ordentliche Erträge,-21,-700,-700,-700,-700,-700
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,10 = ordentliche Erträge,-21,-700,-1700,-1700,-1700,-1700
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,11 - Personalaufwendungen,634754,531853,635742,699146,738548,774080
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,13 - Aufwendungen für Sach- und Dienstleistungen,23380,59040,40780,40780,40780,40780
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,14 - Bilanzielle Abschreibungen,7048,14261,6006,6006,6006,6006
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,16 - sonstige ordentl. Aufwendungen,154974,187004,173442,171442,171442,171442
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,17 = ordentliche Aufwendungen,820156,792158,855970,917374,956776,992308
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17),820135,791458,854270,915674,955076,990608
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,22 = ordentliches Jahresergebnis (18 und 21),820135,791458,854270,915674,955076,990608
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,26 = Jahresergebnis vor interner Leistungsver. (22 und 25),820135,791458,854270,915674,955076,990608
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag),52152,36433,73511,73247,73247,73247
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,6,Chorweiler,28 = Jahresergebnis,872287,827891,927781,988921,1028323,1063855
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,7,Porz,02 - Zuwendungen und allg. Umlagen,0,0,-1000,-1000,-1000,-1000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,7,Porz,05 - privatrechtl. Leistungsentgelte,-11919,-30000,-30000,-30000,-30000,-30000
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,7,Porz,06 - Kostenerstattungen und Umlagen,-15,0,0,0,0,0
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,7,Porz,07 - sonstige ordentliche Erträge,-1932,-9600,-8600,-8600,-8600,-8600
01,Innere Verwaltung,0111,Sonstige Innere Verwaltung,7,Porz,10 = ordentliche Erträge,-13865,-39600,-39600,-39600,-39600,-39600
