Produktbereich;Produktbereichsbezeichnung;Teilplan;Teilplanbezeichnung;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;15 - Transferaufwendungen;572049;598075;520160;492160;479160;479160
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;16 - sonstige ordentl. Aufwendungen;6993835;7359762;7687948;7373648;7245648;7245648
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;17 = ordentliche Aufwendungen;15140743;15414506;16222250;16583747;16866263;17322629
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-14914357;-15184306;-15946201;-16407698;-16690214;-17146580
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;22 = ordentliches Jahresergebnis (18 und 21);-14914357;-15184306;-15946201;-16407698;-16690214;-17146580
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-14914357;-15184306;-15946201;-16407698;-16690214;-17146580
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);668528;548772;751544;751544;751544;751544
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;28 = Jahresergebnis;-15582885;-15733077;-16697746;-17159243;-17441759;-17898124
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;02 - Zuwendungen und allg. Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;04 - öffentl.rechtl. Leistungsentgelte;3044;12300;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;05 - privatrechtl. Leistungsentgelte;0;200;200;200;200;200
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;06 - Kostenerstattungen und Umlagen;242864;284192;120000;120000;120000;120000
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;07 - sonstige ordentliche Erträge;0;1500;1500;1500;1500;1500
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;10 = ordentliche Erträge;245908;298192;121700;121700;121700;121700
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;11 - Personalaufwendungen;5019263;4472047;5158195;5686507;5951343;6285934
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;13 - Aufwendungen für Sach- und Dienstleistungen;4130;26804;49304;26804;26804;26804
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;14 - Bilanzielle Abschreibungen;119047;51492;47331;36889;36889;36889
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;16 - sonstige ordentl. Aufwendungen;439601;488902;473611;471211;466511;466511
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;17 = ordentliche Aufwendungen;5582041;5039245;5728441;6221411;6481547;6816138
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-5336133;-4741053;-5606741;-6099711;-6359847;-6694438
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;22 = ordentliches Jahresergebnis (18 und 21);-5336133;-4741053;-5606741;-6099711;-6359847;-6694438
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-5336133;-4741053;-5606741;-6099711;-6359847;-6694438
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);116655;95937;130559;130559;130559;130559
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;28 = Jahresergebnis;-5452788;-4836990;-5737300;-6230271;-6490406;-6824997
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;02 - Zuwendungen und allg. Umlagen;82824;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;04 - öffentl.rechtl. Leistungsentgelte;10744;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;05 - privatrechtl. Leistungsentgelte;0;70995;9000;9000;9000;9000
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;06 - Kostenerstattungen und Umlagen;15317001;12260050;12270548;12360400;17451661;17544684
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;07 - sonstige ordentliche Erträge;7222319;5928500;6129300;6330900;6505900;6680900
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;10 = ordentliche Erträge;22632887;18259545;18408848;18700300;23966561;24234584
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;11 - Personalaufwendungen;31350933;27275575;38033270;42179747;38494462;40564440
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;12 - Versorgungsaufwendungen;51828305;55262800;53703800;55919800;57830600;59781800
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;13 - Aufwendungen für Sach- und Dienstleistungen;656536;938766;1378693;1228693;1228693;1228693
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;14 - Bilanzielle Abschreibungen;110914;118562;157101;157106;157356;158620
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;16 - sonstige ordentl. Aufwendungen;10325026;10232958;14879043;16010643;14185643;13918813
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;17 = ordentliche Aufwendungen;94271712;93828661;108151907;115495989;111896754;115652366
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-71638826;-75569116;-89743058;-96795689;-87930193;-91417782
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;22 = ordentliches Jahresergebnis (18 und 21);-71638826;-75569116;-89743058;-96795689;-87930193;-91417782
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-71638826;-75569116;-89743058;-96795689;-87930193;-91417782
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);864336;970362;1236548;1236548;1236548;1236548
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;28 = Jahresergebnis;-72503162;-76539479;-90979606;-98032237;-89166741;-92654330
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;02 - Zuwendungen und allg. Umlagen;3070;200;200;200;200;200
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;04 - öffentl.rechtl. Leistungsentgelte;339539;360000;360500;360500;360500;360500
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;05 - privatrechtl. Leistungsentgelte;5414505;3856100;4231400;4231400;4231400;4231400
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;06 - Kostenerstattungen und Umlagen;436321;553300;1474661;1527876;1527876;1527876
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;07 - sonstige ordentliche Erträge;1106549;7200;7200;7200;7200;7200
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;10 = ordentliche Erträge;7299984;4776800;6073961;6127176;6127176;6127176
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;11 - Personalaufwendungen;15714020;14845439;18870003;21096223;22308400;23408578
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;13 - Aufwendungen für Sach- und Dienstleistungen;4376602;4480978;6111890;5398148;4734166;4749166
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;14 - Bilanzielle Abschreibungen;1290777;1166243;1667324;1307716;1099123;854346
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;16 - sonstige ordentl. Aufwendungen;8467030;8065949;10250902;10141586;10869979;10695305
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;17 = ordentliche Aufwendungen;29848429;28558609;36900120;37943672;39011668;39707394
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-22548445;-23781809;-30826159;-31816496;-32884492;-33580218
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;20 - Zinsen und sonst. Finanzaufwendungen;24357;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;21 = Finanzergebnis (19 und 20);-24357;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;22 = ordentliches Jahresergebnis (18 und 21);-22572802;-23781809;-30826159;-31816496;-32884492;-33580218
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-22572802;-23781809;-30826159;-31816496;-32884492;-33580218
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);-20544228;-17475361;-22068298;-22060898;-22060898;-22060898
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;28 = Jahresergebnis;-2028574;-6306448;-8757860;-9755597;-10823594;-11519320
01;Innere Verwaltung;0105;Organisationsmanagement;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;02 - Zuwendungen und allg. Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;04 - öffentl.rechtl. Leistungsentgelte;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;05 - privatrechtl. Leistungsentgelte;180;4200;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;06 - Kostenerstattungen und Umlagen;1077;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;07 - sonstige ordentliche Erträge;10113;3400;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;10 = ordentliche Erträge;11370;7600;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;11 - Personalaufwendungen;5795401;5165302;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;13 - Aufwendungen für Sach- und Dienstleistungen;118326;109567;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;14 - Bilanzielle Abschreibungen;46668;56700;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;16 - sonstige ordentl. Aufwendungen;3128935;2803546;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;17 = ordentliche Aufwendungen;9089330;8135115;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-9077961;-8127515;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;22 = ordentliches Jahresergebnis (18 und 21);-9077961;-8127515;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-9077961;-8127515;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);158395;168870;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;28 = Jahresergebnis;-9236356;-8296385;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;02 - Zuwendungen und allg. Umlagen;1822;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;03 - sonstige Transfererträge;-1;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;04 - öffentl.rechtl. Leistungsentgelte;1262455;1484500;1176560;1176560;1176560;1176560
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;05 - privatrechtl. Leistungsentgelte;3419621;3815600;3748100;3748100;3748100;3748100
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;06 - Kostenerstattungen und Umlagen;36107;18800;75500;75500;75500;75500
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;07 - sonstige ordentliche Erträge;26680;2050;2150;2150;2150;2150
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;10 = ordentliche Erträge;4746684;5320950;5002310;5002310;5002310;5002310
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;11 - Personalaufwendungen;14563026;17005131;14343250;15808390;16285907;16871902
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;13 - Aufwendungen für Sach- und Dienstleistungen;21130817;18912437;22735446;24199847;25268007;26025931
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;14 - Bilanzielle Abschreibungen;340682;332630;258113;256889;256689;256689
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;16 - sonstige ordentl. Aufwendungen;8203897;8257684;8674061;8664311;8631001;8631001
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;17 = ordentliche Aufwendungen;44238422;44507883;46010871;48929438;50441604;51785523
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-39491738;-39186933;-41008561;-43927128;-45439294;-46783213
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;22 = ordentliches Jahresergebnis (18 und 21);-39491738;-39186933;-41008561;-43927128;-45439294;-46783213
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-39491738;-39186933;-41008561;-43927128;-45439294;-46783213
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);-29191932;-30138495;-30649292;-32102063;-33170843;-33928767
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;28 = Jahresergebnis;-10299806;-9048438;-10359268;-11825064;-12268451;-12854446
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;02 - Zuwendungen und allg. Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;04 - öffentl.rechtl. Leistungsentgelte;2154;2000;2000;2000;2000;2000
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;05 - privatrechtl. Leistungsentgelte;2646283;2873700;2767600;2767600;2767600;2767600
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;06 - Kostenerstattungen und Umlagen;282943;71400;92100;92100;92100;92100
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;07 - sonstige ordentliche Erträge;1447558;120500;1312200;1212200;1212200;1212200
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;10 = ordentliche Erträge;4378937;3067600;4173900;4073900;4073900;4073900
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;11 - Personalaufwendungen;2928170;2311195;2906348;3171663;3385234;3593031
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;13 - Aufwendungen für Sach- und Dienstleistungen;1801895;182175;322275;322275;322275;322275
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;14 - Bilanzielle Abschreibungen;7852;9000;9300;9300;9300;9300
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;16 - sonstige ordentl. Aufwendungen;7644468;6874502;7892772;8103762;8103762;8103762
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;17 = ordentliche Aufwendungen;12382385;9376872;11130695;11607000;11820571;12028369
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-8003447;-6309272;-6956795;-7533100;-7746671;-7954469
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;22 = ordentliches Jahresergebnis (18 und 21);-8003447;-6309272;-6956795;-7533100;-7746671;-7954469
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
