Produktbereich;Produktbereichsbezeichnung;Teilplan;Teilplanbezeichnung;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;14 - Bilanzielle Abschreibungen;54.318;47.790;62.466;62.466;62.466;62.466
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;15 - Transferaufwendungen;572.049;598.075;520.160;492.160;479.160;479.160
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;16 - sonstige ordentl. Aufwendungen;6.993.835;7.359.762;7.687.948;7.373.648;7.245.648;7.245.648
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;17 = ordentliche Aufwendungen;15.140.743;15.414.506;16.222.250;16.583.747;16.866.263;17.322.629
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-14.914.357;-15.184.306;-15.946.201;-16.407.698;-16.690.214;-17.146.580
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;22 = ordentliches Jahresergebnis (18 und 21);-14.914.357;-15.184.306;-15.946.201;-16.407.698;-16.690.214;-17.146.580
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-14.914.357;-15.184.306;-15.946.201;-16.407.698;-16.690.214;-17.146.580
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);668.528;548.772;751.544;751.544;751.544;751.544
01;Innere Verwaltung;0101;Politische Gremien, Verwaltungsführung und internationale Angelegenheiten;28 = Jahresergebnis;-15.582.885;-15.733.077;-16.697.746;-17.159.243;-17.441.759;-17.898.124
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;02 - Zuwendungen und allg. Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;04 - öffentl.rechtl. Leistungsentgelte;3.044;12.300;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;05 - privatrechtl. Leistungsentgelte;0;200;200;200;200;200
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;06 - Kostenerstattungen und Umlagen;242.864;284.192;120.000;120.000;120.000;120.000
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;07 - sonstige ordentliche Erträge;0;1.500;1.500;1.500;1.500;1.500
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;10 = ordentliche Erträge;245.908;298.192;121.700;121.700;121.700;121.700
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;11 - Personalaufwendungen;5.019.263;4.472.047;5.158.195;5.686.507;5.951.343;6.285.934
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;13 - Aufwendungen für Sach- und Dienstleistungen;4.130;26.804;49.304;26.804;26.804;26.804
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;14 - Bilanzielle Abschreibungen;119.047;51.492;47.331;36.889;36.889;36.889
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;16 - sonstige ordentl. Aufwendungen;439.601;488.902;473.611;471.211;466.511;466.511
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;17 = ordentliche Aufwendungen;5.582.041;5.039.245;5.728.441;6.221.411;6.481.547;6.816.138
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-5.336.133;-4.741.053;-5.606.741;-6.099.711;-6.359.847;-6.694.438
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;22 = ordentliches Jahresergebnis (18 und 21);-5.336.133;-4.741.053;-5.606.741;-6.099.711;-6.359.847;-6.694.438
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-5.336.133;-4.741.053;-5.606.741;-6.099.711;-6.359.847;-6.694.438
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);116.655;95.937;130.559;130.559;130.559;130.559
01;Innere Verwaltung;0102;Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen;28 = Jahresergebnis;-5.452.788;-4.836.990;-5.737.300;-6.230.271;-6.490.406;-6.824.997
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;02 - Zuwendungen und allg. Umlagen;82.824;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;04 - öffentl.rechtl. Leistungsentgelte;10.744;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;05 - privatrechtl. Leistungsentgelte;0;70.995;9.000;9.000;9.000;9.000
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;06 - Kostenerstattungen und Umlagen;15.317.001;12.260.050;12.270.548;12.360.400;17.451.661;17.544.684
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;07 - sonstige ordentliche Erträge;7.222.319;5.928.500;6.129.300;6.330.900;6.505.900;6.680.900
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;10 = ordentliche Erträge;22.632.887;18.259.545;18.408.848;18.700.300;23.966.561;24.234.584
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;11 - Personalaufwendungen;31.350.933;27.275.575;38.033.270;42.179.747;38.494.462;40.564.440
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;12 - Versorgungsaufwendungen;51.828.305;55.262.800;53.703.800;55.919.800;57.830.600;59.781.800
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;13 - Aufwendungen für Sach- und Dienstleistungen;656.536;938.766;1.378.693;1.228.693;1.228.693;1.228.693
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;14 - Bilanzielle Abschreibungen;110.914;118.562;157.101;157.106;157.356;158.620
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;16 - sonstige ordentl. Aufwendungen;10.325.026;10.232.958;14.879.043;16.010.643;14.185.643;13.918.813
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;17 = ordentliche Aufwendungen;94.271.712;93.828.661;108.151.907;115.495.989;111.896.754;115.652.366
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-71.638.826;-75.569.116;-89.743.058;-96.795.689;-87.930.193;-91.417.782
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;22 = ordentliches Jahresergebnis (18 und 21);-71.638.826;-75.569.116;-89.743.058;-96.795.689;-87.930.193;-91.417.782
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-71.638.826;-75.569.116;-89.743.058;-96.795.689;-87.930.193;-91.417.782
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);864.336;970.362;1.236.548;1.236.548;1.236.548;1.236.548
01;Innere Verwaltung;0103;Personal- und Organisationsmanagement;28 = Jahresergebnis;-72.503.162;-76.539.479;-90.979.606;-98.032.237;-89.166.741;-92.654.330
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;02 - Zuwendungen und allg. Umlagen;3.070;200;200;200;200;200
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;04 - öffentl.rechtl. Leistungsentgelte;339.539;360.000;360.500;360.500;360.500;360.500
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;05 - privatrechtl. Leistungsentgelte;5.414.505;3.856.100;4.231.400;4.231.400;4.231.400;4.231.400
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;06 - Kostenerstattungen und Umlagen;436.321;553.300;1.474.661;1.527.876;1.527.876;1.527.876
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;07 - sonstige ordentliche Erträge;1.106.549;7.200;7.200;7.200;7.200;7.200
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;10 = ordentliche Erträge;7.299.984;4.776.800;6.073.961;6.127.176;6.127.176;6.127.176
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;11 - Personalaufwendungen;15.714.020;14.845.439;18.870.003;21.096.223;22.308.400;23.408.578
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;13 - Aufwendungen für Sach- und Dienstleistungen;4.376.602;4.480.978;6.111.890;5.398.148;4.734.166;4.749.166
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;14 - Bilanzielle Abschreibungen;1.290.777;1.166.243;1.667.324;1.307.716;1.099.123;854.346
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;16 - sonstige ordentl. Aufwendungen;8.467.030;8.065.949;10.250.902;10.141.586;10.869.979;10.695.305
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;17 = ordentliche Aufwendungen;29.848.429;28.558.609;36.900.120;37.943.672;39.011.668;39.707.394
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-22.548.445;-23.781.809;-30.826.159;-31.816.496;-32.884.492;-33.580.218
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;20 - Zinsen und sonst. Finanzaufwendungen;24.357;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;21 = Finanzergebnis (19 und 20);-24.357;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;22 = ordentliches Jahresergebnis (18 und 21);-22.572.802;-23.781.809;-30.826.159;-31.816.496;-32.884.492;-33.580.218
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-22.572.802;-23.781.809;-30.826.159;-31.816.496;-32.884.492;-33.580.218
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);-20.544.228;-17.475.361;-22.068.298;-22.060.898;-22.060.898;-22.060.898
01;Innere Verwaltung;0104;IT- und Kommunikationsdienste;28 = Jahresergebnis;-2.028.574;-6.306.448;-8.757.860;-9.755.597;-10.823.594;-11.519.320
01;Innere Verwaltung;0105;Organisationsmanagement;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;02 - Zuwendungen und allg. Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;04 - öffentl.rechtl. Leistungsentgelte;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;05 - privatrechtl. Leistungsentgelte;180;4.200;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;06 - Kostenerstattungen und Umlagen;1.077;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;07 - sonstige ordentliche Erträge;10.113;3.400;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;10 = ordentliche Erträge;11.370;7.600;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;11 - Personalaufwendungen;5.795.401;5.165.302;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;13 - Aufwendungen für Sach- und Dienstleistungen;118.326;109.567;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;14 - Bilanzielle Abschreibungen;46.668;56.700;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;16 - sonstige ordentl. Aufwendungen;3.128.935;2.803.546;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;17 = ordentliche Aufwendungen;9.089.330;8.135.115;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-9.077.961;-8.127.515;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;22 = ordentliches Jahresergebnis (18 und 21);-9.077.961;-8.127.515;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-9.077.961;-8.127.515;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);158.395;168.870;0;0;0;0
01;Innere Verwaltung;0105;Organisationsmanagement;28 = Jahresergebnis;-9.236.356;-8.296.385;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;02 - Zuwendungen und allg. Umlagen;1.822;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;03 - sonstige Transfererträge;-1;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;04 - öffentl.rechtl. Leistungsentgelte;1.262.455;1.484.500;1.176.560;1.176.560;1.176.560;1.176.560
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;05 - privatrechtl. Leistungsentgelte;3.419.621;3.815.600;3.748.100;3.748.100;3.748.100;3.748.100
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;06 - Kostenerstattungen und Umlagen;36.107;18.800;75.500;75.500;75.500;75.500
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;07 - sonstige ordentliche Erträge;26.680;2.050;2.150;2.150;2.150;2.150
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;10 = ordentliche Erträge;4.746.684;5.320.950;5.002.310;5.002.310;5.002.310;5.002.310
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;11 - Personalaufwendungen;14.563.026;17.005.131;14.343.250;15.808.390;16.285.907;16.871.902
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;12 - Versorgungsaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;13 - Aufwendungen für Sach- und Dienstleistungen;21.130.817;18.912.437;22.735.446;24.199.847;25.268.007;26.025.931
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;14 - Bilanzielle Abschreibungen;340.682;332.630;258.113;256.889;256.689;256.689
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;15 - Transferaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;16 - sonstige ordentl. Aufwendungen;8.203.897;8.257.684;8.674.061;8.664.311;8.631.001;8.631.001
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;17 = ordentliche Aufwendungen;44.238.422;44.507.883;46.010.871;48.929.438;50.441.604;51.785.523
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-39.491.738;-39.186.933;-41.008.561;-43.927.128;-45.439.294;-46.783.213
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;19 - Finanzerträge;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;21 = Finanzergebnis (19 und 20);0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;22 = ordentliches Jahresergebnis (18 und 21);-39.491.738;-39.186.933;-41.008.561;-43.927.128;-45.439.294;-46.783.213
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;23 - außerordentliche Erträge;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-39.491.738;-39.186.933;-41.008.561;-43.927.128;-45.439.294;-46.783.213
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);-29.191.932;-30.138.495;-30.649.292;-32.102.063;-33.170.843;-33.928.767
01;Innere Verwaltung;0106;Zentrale Dienstleistungen;28 = Jahresergebnis;-10.299.806;-9.048.438;-10.359.268;-11.825.064;-12.268.451;-12.854.446
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;02 - Zuwendungen und allg. Umlagen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;03 - sonstige Transfererträge;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;04 - öffentl.rechtl. Leistungsentgelte;2.154;2.000;2.000;2.000;2.000;2.000
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;05 - privatrechtl. Leistungsentgelte;2.646.283;2.873.700;2.767.600;2.767.600;2.767.600;2.767.600
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;06 - Kostenerstattungen und Umlagen;282.943;71.400;92.100;92.100;92.100;92.100
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;07 - sonstige ordentliche Erträge;1.447.558;120.500;1.312.200;1.212.200;1.212.200;1.212.200
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;09 - Bestandsveränderungen;0;0;0;0;0;0
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;10 = ordentliche Erträge;4.378.937;3.067.600;4.173.900;4.073.900;4.073.900;4.073.900
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;11 - Personalaufwendungen;2.928.170;2.311.195;2.906.348;3.171.663;3.385.234;3.593.031
01;Innere Verwaltung;0107;Rechts- und Versicherungsangelegenheiten;12 - Versorgungsaufwendungen;0;0;0;0;0;0
